claimId,policyId,claimAmount,status,fraudScore,submissionDate,assignedAdjusterId
CLM121,POL295,12759,UnderReview,0.42,2025-12-14,ADJ001
CLM122,POL257,1304,UnderReview,0.3,2025-08-01,ADJ002
CLM123,POL044,34285,UnderReview,0.47,2025-08-22,ADJ003
CLM124,POL106,11913,UnderReview,0.3,2025-12-23,ADJ004
CLM125,POL232,10339,Approved,0.27,2025-02-28,ADJ005
CLM126,POL012,21732,Approved,0.22,2025-03-26,ADJ006
CLM127,POL125,18584,Approved,0.11,2025-08-07,ADJ007
CLM128,POL237,13772,Rejected,0.06,2025-11-24,ADJ008
CLM129,POL222,24662,Rejected,0.29,2025-08-19,ADJ009
CLM130,POL220,23592,Approved,0.07,2025-12-27,ADJ010
CLM131,POL033,18092,Approved,0.12,2025-04-11,ADJ011
CLM132,POL235,57079,Rejected,0.42,2025-06-10,ADJ012
CLM133,POL199,19734,Approved,0.11,2025-08-23,ADJ013
CLM134,POL089,23633,UnderReview,0.57,2025-10-30,ADJ014
CLM135,POL044,10762,Approved,0.08,2025-03-01,ADJ015
CLM136,POL094,5132,Rejected,0.13,2025-11-02,ADJ016
CLM137,POL071,14362,Approved,0.16,2025-10-03,ADJ017
CLM138,POL089,16544,UnderReview,0.32,2025-06-11,ADJ018
CLM139,POL231,12264,Approved,0.16,2025-04-10,ADJ019
CLM140,POL197,17062,Rejected,0.16,2025-12-17,ADJ020
CLM141,POL252,15044,UnderReview,0.33,2025-10-17,ADJ001
CLM142,POL016,7726,UnderReview,0.28,2025-04-26,ADJ002
CLM143,POL276,15485,Rejected,0.25,2025-09-11,ADJ003
CLM144,POL282,19266,Approved,0.09,2025-10-06,ADJ004
CLM145,POL188,1863,Rejected,0.15,2025-04-22,ADJ005
CLM146,POL218,41223,UnderReview,0.66,2025-01-17,ADJ006
CLM147,POL231,3350,UnderReview,0.56,2025-03-02,ADJ007
CLM148,POL122,24670,Rejected,0.23,2025-12-30,ADJ008
CLM149,POL220,5062,Approved,0.27,2025-01-31,ADJ009
CLM150,POL292,9710,Rejected,0.18,2025-06-15,ADJ010
CLM151,POL150,9260,Rejected,0.33,2025-12-14,ADJ011
CLM152,POL049,51975,Approved,0.43,2025-12-02,ADJ012
CLM153,POL065,4848,Approved,0.05,2025-06-14,ADJ013
CLM154,POL127,22658,UnderReview,0.43,2025-10-23,ADJ014
CLM155,POL138,12793,UnderReview,0.29,2025-02-17,ADJ015
CLM156,POL207,9616,Rejected,0.31,2025-07-08,ADJ016
CLM157,POL233,11224,Rejected,0.01,2025-02-17,ADJ017
CLM158,POL235,23348,UnderReview,0.55,2025-10-01,ADJ018
CLM159,POL204,14578,Approved,0.16,2025-06-15,ADJ019
CLM160,POL146,19437,Approved,0.19,2025-09-06,ADJ020
CLM161,POL176,2086,Approved,0.03,2025-08-24,ADJ001
CLM162,POL009,35354,UnderReview,0.52,2025-08-08,ADJ002
CLM163,POL104,4822,Rejected,0.1,2025-05-21,ADJ003
CLM164,POL048,8704,Approved,0.12,2025-11-29,ADJ004
CLM165,POL085,45022,Rejected,0.33,2025-04-30,ADJ005
CLM166,POL220,23558,Approved,0.01,2025-09-02,ADJ006
CLM167,POL040,39824,Rejected,0.32,2025-01-05,ADJ007
CLM168,POL005,4451,UnderReview,0.5,2025-09-02,ADJ008
CLM169,POL037,3427,Rejected,0.27,2025-02-22,ADJ009
CLM170,POL161,10305,Approved,0.13,2025-03-10,ADJ010
CLM171,POL074,25556,Rejected,0.31,2025-08-14,ADJ011
CLM172,POL180,21080,Rejected,0.05,2025-07-30,ADJ012
CLM173,POL227,3340,Approved,0.05,2025-03-05,ADJ013
CLM174,POL197,14570,UnderReview,0.53,2025-05-07,ADJ014
CLM175,POL142,8631,Rejected,0.2,2025-11-08,ADJ015
CLM176,POL146,23125,Approved,0.28,2025-12-04,ADJ016
CLM177,POL155,20387,Rejected,0.06,2025-07-20,ADJ017
CLM178,POL152,8342,UnderReview,0.4,2025-05-04,ADJ018
CLM179,POL256,2826,Rejected,0.29,2025-01-07,ADJ019
CLM180,POL185,4824,UnderReview,0.55,2025-10-19,ADJ020
CLM181,POL216,22878,Approved,0.25,2025-02-07,ADJ001
CLM182,POL009,951,UnderReview,0.34,2025-01-31,ADJ002
CLM183,POL204,21097,Rejected,0.17,2025-08-01,ADJ003
CLM184,POL217,3200,Rejected,0.18,2025-11-12,ADJ004
CLM185,POL079,10655,Approved,0.17,2025-04-15,ADJ005
CLM186,POL080,13303,Rejected,0.21,2025-11-29,ADJ006
CLM187,POL034,14835,Rejected,0.31,2025-05-03,ADJ007
CLM188,POL030,14737,Approved,0.15,2025-11-08,ADJ008
CLM189,POL029,24803,Rejected,0.24,2025-03-03,ADJ009
CLM190,POL007,23486,Approved,0.05,2025-06-27,ADJ010
CLM191,POL268,24118,UnderReview,0.33,2025-03-06,ADJ011
CLM192,POL138,4368,Approved,0.11,2025-08-08,ADJ012
CLM193,POL140,9116,Rejected,0.32,2025-11-18,ADJ013
CLM194,POL040,17237,UnderReview,0.29,2025-10-18,ADJ014
CLM195,POL086,8859,Approved,0.3,2025-12-12,ADJ015
CLM196,POL060,17173,Approved,0.01,2025-01-07,ADJ016
CLM197,POL126,48854,UnderReview,0.67,2025-04-02,ADJ017
CLM198,POL019,23897,Rejected,0.22,2025-04-25,ADJ018
CLM199,POL165,24102,UnderReview,0.36,2025-02-09,ADJ019
CLM200,POL293,16950,Rejected,0.3,2025-04-02,ADJ020
CLM201,POL115,2004,UnderReview,0.29,2025-08-27,ADJ001
CLM202,POL145,10680,UnderReview,0.3,2025-08-22,ADJ002
CLM203,POL005,10054,Rejected,0.26,2025-11-15,ADJ003
CLM204,POL125,19888,UnderReview,0.6,2025-04-11,ADJ004
CLM205,POL280,8532,Approved,0.01,2025-07-29,ADJ005
CLM206,POL013,11851,Rejected,0.28,2025-01-05,ADJ006
CLM207,POL172,49660,Rejected,0.34,2025-02-23,ADJ007
CLM208,POL106,8304,UnderReview,0.43,2025-01-31,ADJ008
CLM209,POL073,3548,Approved,0.3,2025-09-24,ADJ009
CLM210,POL212,12705,UnderReview,0.59,2025-02-13,ADJ010
CLM211,,17061,Approved,0.21,2025-07-21,ADJ011
CLM212,,29082,UnderReview,0.59,2025-03-08,ADJ012
CLM213,POL122,10822,UnderReview,0.5,2025-06-17,ADJ013
CLM214,POL163,8154,Approved,0.31,2025-03-11,ADJ014
CLM215,POL300,31925,Approved,0.25,2025-06-10,ADJ015
CLM216,POL209,48481,Approved,0.25,2025-08-26,ADJ016
CLM217,POL136,3462,Approved,0.27,2025-06-05,ADJ017
CLM218,POL021,11241,Approved,0.03,2025-05-08,ADJ018
CLM219,POL183,2104,Rejected,0.1,2025-03-31,ADJ019
CLM220,POL016,15317,Rejected,0.25,2025-05-08,ADJ020
CLM221,POL049,5080,Approved,0.01,2025-04-24,ADJ001
CLM222,POL067,13626,UnderReview,0.5,2025-11-27,ADJ002
CLM223,POL044,8981,Approved,0.01,2025-02-03,ADJ003
CLM224,POL102,15030,Approved,0.03,2025-06-19,ADJ004
CLM225,POL063,55212,Approved,0.16,2025-10-21,ADJ005
CLM226,POL222,13443,UnderReview,0.28,2025-12-16,ADJ006
CLM227,POL219,7535,Approved,0.09,2025-08-17,ADJ007
CLM228,POL077,41108,Rejected,0.2,2025-07-30,ADJ008
CLM229,POL282,3374,UnderReview,0.4,2025-08-03,ADJ009
CLM230,POL103,17729,Approved,0.21,2025-10-06,ADJ010
CLM231,POL010,23875,UnderReview,0.43,2025-09-06,ADJ011
CLM232,POL177,16962,UnderReview,0.4,2025-04-03,ADJ012
CLM233,POL014,7676,Approved,0.3,2025-05-24,ADJ013
CLM234,POL030,15956,Rejected,0.12,2025-10-27,ADJ014
CLM235,POL120,3781,Approved,0.22,2025-05-17,ADJ015
CLM236,POL274,24651,Approved,0.25,2025-04-23,ADJ016
CLM237,POL295,13227,UnderReview,0.58,2025-03-30,ADJ017
CLM238,POL091,10920,Rejected,0.23,2025-10-30,ADJ018
CLM239,POL015,12023,Rejected,0.19,2025-10-16,ADJ019
CLM240,POL097,16629,Rejected,0.1,2025-09-09,ADJ020
CLM241,POL020,40246,Rejected,0.17,2025-09-27,ADJ001
CLM242,,11370,Rejected,0.07,2025-03-08,ADJ002
CLM243,POL175,11103,Approved,0.01,2025-10-28,ADJ003
CLM244,POL073,17745,UnderReview,0.59,2025-07-11,ADJ004
CLM245,POL203,11528,UnderReview,0.38,2025-03-22,ADJ005
CLM246,POL224,16464,Rejected,0.1,2025-12-29,ADJ006
CLM247,POL288,20610,UnderReview,0.34,2025-10-29,ADJ007
CLM248,POL090,24551,Rejected,0.1,2025-04-01,ADJ008
CLM249,POL001,19270,UnderReview,0.55,2025-10-18,ADJ009
CLM250,POL017,10927,Rejected,0.07,2025-10-17,ADJ010
CLM251,POL054,5108,UnderReview,0.52,2025-05-02,ADJ011
CLM252,POL178,6001,Rejected,0.29,2025-02-15,ADJ012
CLM253,POL172,9190,Approved,0.08,2025-02-04,ADJ013
CLM254,POL180,4040,Rejected,0.01,2025-07-17,ADJ014
CLM255,POL225,5950,UnderReview,0.43,2025-07-13,ADJ015
CLM256,POL180,3823,UnderReview,0.53,2025-10-23,ADJ016
CLM257,,23016,Approved,0.05,2025-02-07,ADJ017
CLM258,POL018,10943,UnderReview,0.58,2025-02-07,ADJ018
CLM259,POL176,12803,Approved,0.24,2025-10-08,ADJ019
CLM260,POL048,20607,UnderReview,0.5,2025-08-09,ADJ020
CLM261,POL085,14727,Approved,0.02,2025-06-19,ADJ001
CLM262,POL106,13911,Rejected,0.18,2025-10-04,ADJ002
CLM263,POL136,10245,Approved,0.03,2025-07-21,ADJ003
CLM264,POL293,16587,Approved,0.02,2025-01-02,ADJ004
CLM265,POL219,56479,Approved,0.13,2025-04-16,ADJ005
CLM266,POL088,3184,UnderReview,0.55,2025-06-07,ADJ006
CLM267,POL204,22160,UnderReview,0.3,2025-10-06,ADJ007
CLM268,POL199,12999,UnderReview,0.33,2025-01-23,ADJ008
CLM269,POL135,9131,Approved,0.28,2025-10-16,ADJ009
CLM270,POL032,23321,Rejected,0.03,2025-12-09,ADJ010
CLM271,POL177,14065,Rejected,0.08,2025-02-01,ADJ011
CLM272,POL199,14217,Rejected,0.23,2025-09-01,ADJ012
CLM273,POL294,16106,UnderReview,0.3,2025-01-18,ADJ013
CLM274,POL258,17435,Rejected,0.22,2025-11-14,ADJ014
CLM275,POL076,54429,Approved,0.41,2025-03-27,ADJ015
CLM276,POL109,4634,Approved,0.14,2025-12-16,ADJ016
CLM277,POL223,21052,Approved,0.28,2025-05-13,ADJ017
CLM278,POL164,2695,Approved,0.13,2025-07-23,ADJ018
CLM279,POL283,9550,Rejected,0.15,2025-01-07,ADJ019
CLM280,POL268,4187,UnderReview,0.32,2025-10-18,ADJ020
CLM281,POL299,3783,Approved,0.19,2025-02-21,ADJ001
CLM282,POL147,11767,UnderReview,0.36,2025-12-02,ADJ002
CLM283,POL249,16000,Approved,0.06,2025-07-26,ADJ003
CLM284,POL074,22808,Rejected,0.13,2025-07-22,ADJ004
CLM285,POL170,2115,Rejected,0.16,2025-05-18,ADJ005
CLM286,POL191,44862,UnderReview,0.46,2025-09-09,ADJ006
CLM287,POL051,7969,Approved,0.1,2025-08-15,ADJ007
CLM288,POL165,14156,Rejected,0.21,2025-04-07,ADJ008
CLM289,POL227,13842,Rejected,0.16,2025-09-22,ADJ009
CLM290,POL192,17384,Approved,0.02,2025-12-30,ADJ010
CLM291,POL260,17679,Rejected,0.01,2025-04-09,ADJ011
CLM292,POL103,8675,Approved,0.15,2025-07-04,ADJ012
CLM293,POL102,15711,Rejected,0.13,2025-03-05,ADJ013
CLM294,POL016,16516,Rejected,0.15,2025-08-31,ADJ014
CLM295,POL283,5858,UnderReview,0.52,2025-12-19,ADJ015
CLM296,POL047,13166,Approved,0.05,2025-10-20,ADJ016
CLM297,POL110,21713,Approved,0.22,2025-05-18,ADJ017
CLM298,POL210,22854,Approved,0.16,2025-03-09,ADJ018
CLM299,POL089,777,Approved,0.08,2025-06-06,ADJ019
CLM300,POL141,12836,UnderReview,0.42,2025-04-22,ADJ020
