indicatorId,fraudCaseId,indicatorType,severity,detectedDate
RI133,FC262,DuplicateClaimant,High,2025-06-23
RI134,FC278,DuplicateClaimant,Low,2025-10-14
RI135,FC045,UnusualClaimFrequency,Medium,2025-08-31
RI136,FC146,InconsistentTimeline,High,2025-01-01
RI137,FC051,InconsistentTimeline,High,2025-05-13
RI138,FC073,MismatchedDocumentation,Low,2025-01-04
RI139,FC273,InconsistentTimeline,High,2025-01-12
RI140,FC249,UnusualClaimFrequency,Low,2025-05-14
RI141,FC028,InconsistentTimeline,High,2025-10-23
RI142,FC253,UnusualClaimFrequency,Medium,2025-04-18
RI143,FC292,HighRiskGeography,Medium,2025-06-01
RI144,FC018,DuplicateClaimant,Medium,2025-10-28
RI145,FC153,InconsistentTimeline,Low,2025-10-11
RI146,FC141,MismatchedDocumentation,Low,2025-05-17
RI147,FC052,UnusualClaimFrequency,High,2025-08-04
RI148,FC084,HighRiskGeography,Low,2025-07-03
RI149,FC215,DuplicateClaimant,High,2025-06-24
RI150,FC056,HighRiskGeography,Medium,2025-03-03
RI151,FC035,MismatchedDocumentation,Low,2025-03-11
RI152,FC232,DuplicateClaimant,Low,2025-10-04
RI153,FC107,InconsistentTimeline,High,2025-03-06
RI154,FC285,DuplicateClaimant,Low,2025-04-07
RI155,FC297,MismatchedDocumentation,Medium,2025-03-14
RI156,FC209,InconsistentTimeline,Medium,2025-10-04
RI157,FC258,InconsistentTimeline,High,2025-11-11
RI158,FC014,DuplicateClaimant,Medium,2025-12-12
RI159,FC014,DuplicateClaimant,Low,2025-09-22
RI160,FC107,InconsistentTimeline,Medium,2025-06-18
RI161,FC183,MismatchedDocumentation,High,2025-03-31
RI162,FC051,HighRiskGeography,Medium,2025-04-25
RI163,FC225,UnusualClaimFrequency,Medium,2025-07-31
RI164,FC136,HighRiskGeography,High,2025-10-23
RI165,FC031,DuplicateClaimant,High,2025-06-29
RI166,FC181,InconsistentTimeline,Medium,2025-01-01
RI167,FC218,UnusualClaimFrequency,Low,2025-04-18
RI168,FC300,HighRiskGeography,Medium,2025-05-31
RI169,FC095,UnusualClaimFrequency,High,2025-08-06
RI170,FC263,InconsistentTimeline,Low,2025-06-16
RI171,FC121,HighRiskGeography,Medium,2025-10-11
RI172,FC239,UnusualClaimFrequency,Medium,2025-02-03
RI173,FC047,DuplicateClaimant,High,2025-03-29
RI174,FC165,HighRiskGeography,Low,2025-05-12
RI175,FC121,HighRiskGeography,High,2025-09-18
RI176,FC108,MismatchedDocumentation,High,2025-09-10
RI177,FC271,InconsistentTimeline,Low,2025-07-23
RI178,FC099,InconsistentTimeline,Medium,2025-05-17
RI179,FC246,DuplicateClaimant,Low,2025-05-28
RI180,FC150,MismatchedDocumentation,High,2025-08-04
RI181,FC192,MismatchedDocumentation,Medium,2025-10-11
RI182,FC295,UnusualClaimFrequency,Medium,2025-03-13
RI183,FC040,InconsistentTimeline,Low,2025-07-20
RI184,FC287,DuplicateClaimant,High,2025-02-04
RI185,FC232,UnusualClaimFrequency,Low,2025-09-22
RI186,FC213,DuplicateClaimant,Low,2025-07-26
RI187,FC130,DuplicateClaimant,Low,2025-02-18
RI188,FC145,MismatchedDocumentation,Low,2025-08-20
RI189,FC024,DuplicateClaimant,High,2025-03-30
RI190,FC164,UnusualClaimFrequency,Low,2025-08-05
RI191,FC163,UnusualClaimFrequency,Low,2025-09-23
RI192,FC300,DuplicateClaimant,Medium,2025-09-18
RI193,FC081,InconsistentTimeline,High,2025-08-31
RI194,FC116,UnusualClaimFrequency,High,2025-05-12
RI195,FC020,DuplicateClaimant,Medium,2025-12-10
RI196,FC045,UnusualClaimFrequency,Medium,2025-06-28
RI197,FC147,MismatchedDocumentation,High,2025-02-11
RI198,FC255,HighRiskGeography,Low,2025-06-16
RI199,FC263,MismatchedDocumentation,High,2025-08-13
RI200,FC269,DuplicateClaimant,Low,2025-03-02
RI201,FC243,DuplicateClaimant,Low,2025-12-22
RI202,FC253,MismatchedDocumentation,Medium,2025-05-28
RI203,FC275,UnusualClaimFrequency,High,2025-06-05
RI204,FC120,DuplicateClaimant,Low,2025-11-14
RI205,FC106,DuplicateClaimant,Medium,2025-08-19
RI206,FC138,DuplicateClaimant,Low,2025-04-22
RI207,FC156,DuplicateClaimant,High,2025-06-14
RI208,FC277,UnusualClaimFrequency,Medium,2025-06-25
RI209,FC009,DuplicateClaimant,Low,2025-06-25
RI210,FC072,MismatchedDocumentation,High,2025-12-08
RI211,FC152,MismatchedDocumentation,High,2025-06-23
RI212,FC078,UnusualClaimFrequency,Medium,2025-10-31
RI213,FC042,UnusualClaimFrequency,Medium,2025-01-08
RI214,FC052,HighRiskGeography,High,2025-03-30
RI215,FC208,MismatchedDocumentation,Low,2025-06-21
RI216,FC245,MismatchedDocumentation,High,2025-07-29
RI217,FC210,HighRiskGeography,Medium,2025-04-09
RI218,FC195,InconsistentTimeline,Medium,2025-12-05
RI219,FC281,DuplicateClaimant,Low,2025-11-06
RI220,FC110,HighRiskGeography,High,2025-05-26
RI221,FC292,MismatchedDocumentation,Low,2025-02-02
RI222,FC221,MismatchedDocumentation,Low,2025-05-27
RI223,FC219,UnusualClaimFrequency,High,2025-05-20
RI224,FC211,DuplicateClaimant,High,2025-01-27
RI225,FC091,MismatchedDocumentation,Medium,2025-07-27
RI226,FC113,InconsistentTimeline,Medium,2025-12-21
RI227,FC124,DuplicateClaimant,Medium,2025-08-09
RI228,FC160,InconsistentTimeline,High,2025-11-21
RI229,FC206,InconsistentTimeline,Medium,2025-06-10
RI230,FC093,InconsistentTimeline,High,2025-08-25
RI231,FC212,InconsistentTimeline,High,2025-10-14
RI232,FC047,MismatchedDocumentation,High,2025-03-30
RI233,FC096,DuplicateClaimant,Low,2025-01-05
RI234,FC017,HighRiskGeography,Medium,2025-02-08
RI235,FC108,InconsistentTimeline,Medium,2025-04-28
RI236,FC225,MismatchedDocumentation,High,2025-02-18
RI237,FC265,UnusualClaimFrequency,High,2025-03-04
RI238,FC074,UnusualClaimFrequency,Medium,2025-12-26
RI239,FC004,HighRiskGeography,Medium,2025-06-18
RI240,FC136,DuplicateClaimant,Medium,2025-01-17
RI241,FC162,MismatchedDocumentation,Medium,2025-05-19
RI242,FC023,InconsistentTimeline,High,2025-09-22
RI243,FC201,UnusualClaimFrequency,Low,2025-07-17
RI244,FC032,MismatchedDocumentation,High,2025-05-10
RI245,FC023,HighRiskGeography,High,2025-11-03
RI246,FC283,InconsistentTimeline,Medium,2025-02-12
RI247,FC235,DuplicateClaimant,High,2025-06-18
RI248,FC038,InconsistentTimeline,Medium,2025-09-15
RI249,FC090,HighRiskGeography,Medium,2025-06-08
RI250,FC255,UnusualClaimFrequency,Low,2025-06-27
RI251,FC003,UnusualClaimFrequency,Medium,2025-03-10
RI252,FC271,InconsistentTimeline,High,2025-01-18
RI253,FC144,DuplicateClaimant,High,2025-08-24
RI254,FC102,MismatchedDocumentation,High,2025-02-20
RI255,FC174,HighRiskGeography,Low,2025-04-09
RI256,FC288,HighRiskGeography,Medium,2025-05-28
RI257,FC300,HighRiskGeography,High,2025-01-15
RI258,FC128,DuplicateClaimant,Medium,2025-10-21
RI259,FC060,UnusualClaimFrequency,High,2025-07-13
RI260,FC253,HighRiskGeography,Medium,2025-08-24
RI261,FC153,UnusualClaimFrequency,Low,2025-03-28
RI262,FC082,MismatchedDocumentation,High,2025-04-22
RI263,FC041,DuplicateClaimant,Low,2025-01-23
RI264,FC125,DuplicateClaimant,Medium,2025-01-24
RI265,FC254,InconsistentTimeline,Low,2025-12-08
RI266,FC203,DuplicateClaimant,Low,2025-08-09
RI267,FC150,MismatchedDocumentation,Medium,2025-01-15
RI268,FC229,DuplicateClaimant,Low,2025-04-16
RI269,FC209,DuplicateClaimant,Medium,2025-08-17
RI270,FC210,MismatchedDocumentation,Low,2025-07-23
RI271,FC075,DuplicateClaimant,High,2025-05-01
RI272,FC196,HighRiskGeography,High,2025-05-19
RI273,FC104,UnusualClaimFrequency,Medium,2025-04-22
RI274,FC219,HighRiskGeography,High,2025-11-08
RI275,FC207,MismatchedDocumentation,Medium,2025-10-24
RI276,FC067,UnusualClaimFrequency,High,2025-01-30
RI277,FC285,DuplicateClaimant,Medium,2025-01-17
RI278,FC172,DuplicateClaimant,Low,2025-11-28
RI279,FC039,UnusualClaimFrequency,High,2025-04-05
RI280,FC163,DuplicateClaimant,Medium,2025-02-11
RI281,FC062,UnusualClaimFrequency,Medium,2025-06-29
RI282,FC023,MismatchedDocumentation,Medium,2025-09-13
RI283,FC152,UnusualClaimFrequency,High,2025-10-07
RI284,FC032,UnusualClaimFrequency,Medium,2025-05-04
RI285,FC189,HighRiskGeography,Medium,2025-06-03
RI286,FC192,InconsistentTimeline,High,2025-01-06
RI287,FC222,HighRiskGeography,Low,2025-07-08
RI288,FC046,DuplicateClaimant,High,2025-11-18
RI289,FC037,DuplicateClaimant,High,2025-07-02
RI290,FC276,HighRiskGeography,Medium,2025-08-30
RI291,FC218,DuplicateClaimant,High,2025-10-27
RI292,FC260,HighRiskGeography,Medium,2025-03-20
RI293,FC015,HighRiskGeography,Medium,2025-04-23
RI294,FC275,HighRiskGeography,High,2025-07-02
RI295,FC008,UnusualClaimFrequency,Low,2025-11-24
RI296,FC004,UnusualClaimFrequency,Low,2025-12-07
RI297,FC128,UnusualClaimFrequency,Medium,2025-08-05
RI298,FC036,MismatchedDocumentation,High,2025-02-07
RI299,FC012,UnusualClaimFrequency,Medium,2025-01-03
RI300,FC012,DuplicateClaimant,Medium,2025-09-05
