fraudCaseId,claimId,openedDate,status,riskLevel,assignedInvestigatorId
FC163,CLM066,2025-07-05,UnderReview,Critical,SIU012
FC164,CLM277,2025-04-22,Cleared,Medium,SIU009
FC165,CLM105,2025-06-24,UnderReview,Medium,SIU014
FC166,CLM204,2025-02-02,Cleared,High,SIU009
FC167,CLM139,2025-10-06,ConfirmedFraud,Low,SIU016
FC168,CLM260,2025-01-11,Open,High,SIU015
FC169,CLM119,2025-10-04,Closed,Critical,SIU007
FC170,CLM115,2025-06-21,ConfirmedFraud,Medium,SIU008
FC171,CLM215,2025-02-24,Open,High,SIU009
FC172,CLM199,2025-02-21,Cleared,Medium,SIU011
FC173,CLM087,2025-09-01,ConfirmedFraud,High,SIU004
FC174,CLM025,2025-01-03,Closed,Medium,SIU014
FC175,CLM262,2025-09-15,UnderReview,Medium,SIU015
FC176,CLM256,2025-09-25,UnderReview,Critical,SIU009
FC177,CLM258,2025-02-24,ConfirmedFraud,High,SIU017
FC178,CLM281,2025-12-04,Open,Critical,SIU008
FC179,CLM126,2025-02-13,Cleared,High,SIU004
FC180,CLM240,2025-05-21,ConfirmedFraud,High,SIU017
FC181,CLM102,2025-07-14,Closed,Critical,SIU015
FC182,CLM023,2025-04-18,Closed,Low,SIU006
FC183,CLM110,2025-06-24,ConfirmedFraud,High,SIU018
FC184,CLM148,2025-07-05,Closed,Low,SIU004
FC185,CLM035,2025-09-08,Cleared,High,SIU001
FC186,CLM166,2025-03-11,Open,Medium,SIU008
FC187,CLM212,2025-08-15,ConfirmedFraud,High,SIU017
FC188,CLM255,2025-11-24,UnderReview,Low,SIU001
FC189,CLM165,2025-01-29,Closed,High,SIU011
FC190,CLM231,2025-07-03,ConfirmedFraud,Medium,SIU001
FC191,CLM225,2025-11-22,ConfirmedFraud,Critical,SIU018
FC192,CLM166,2025-08-31,ConfirmedFraud,Medium,SIU018
FC193,CLM028,2025-01-22,Cleared,Low,SIU018
FC194,CLM037,2025-03-03,Open,Medium,SIU002
FC195,CLM289,2025-02-06,UnderReview,Critical,SIU008
FC196,CLM148,2025-12-15,Closed,High,SIU010
FC197,CLM282,2025-12-13,Closed,Medium,SIU002
FC198,CLM043,2025-05-04,Cleared,Medium,SIU010
FC199,CLM149,2025-01-19,Open,Low,SIU017
FC200,CLM262,2025-11-26,Closed,Critical,SIU014
FC201,CLM103,2025-04-26,UnderReview,High,SIU010
FC202,CLM234,2025-11-26,Open,Medium,SIU007
FC203,CLM083,2025-03-06,UnderReview,Medium,SIU015
FC204,CLM252,2025-09-25,ConfirmedFraud,Critical,SIU009
FC205,CLM045,2025-07-30,Closed,High,SIU005
FC206,CLM273,2025-02-10,Cleared,Low,SIU001
FC207,CLM289,2025-02-23,ConfirmedFraud,High,SIU009
FC208,CLM252,2025-10-09,ConfirmedFraud,Low,SIU013
FC209,CLM097,2025-12-18,Cleared,High,SIU008
FC210,CLM015,2025-06-01,Closed,High,SIU019
FC211,CLM022,2025-10-10,ConfirmedFraud,High,SIU013
FC212,CLM167,2025-10-19,Open,Critical,SIU014
FC213,CLM153,2025-07-27,Open,Low,SIU005
FC214,CLM266,2025-10-13,ConfirmedFraud,Low,SIU011
FC215,CLM052,2025-03-29,ConfirmedFraud,High,SIU015
FC216,CLM183,2025-10-23,ConfirmedFraud,Low,SIU020
FC217,CLM059,2025-06-29,Open,High,SIU015
FC218,CLM136,2025-05-13,Cleared,Low,SIU001
FC219,CLM269,2025-02-19,UnderReview,Medium,SIU007
FC220,CLM013,2025-10-17,Cleared,Medium,SIU020
FC221,CLM105,2025-10-28,UnderReview,Critical,SIU018
FC222,CLM126,2025-07-27,Cleared,Low,SIU001
FC223,CLM175,2025-09-18,Open,High,SIU020
FC224,CLM011,2025-06-22,Open,Medium,SIU014
FC225,CLM049,2025-08-14,UnderReview,High,SIU020
FC226,CLM133,2025-08-18,Cleared,High,SIU016
FC227,CLM022,2025-07-27,Closed,High,SIU003
FC228,CLM129,2025-08-01,Open,Low,SIU001
FC229,CLM212,2025-11-13,Open,Low,SIU001
FC230,CLM195,2025-09-24,Cleared,Medium,SIU004
FC231,CLM263,2025-03-15,ConfirmedFraud,Critical,SIU018
FC232,CLM007,2025-02-18,Open,High,SIU014
FC233,CLM108,2025-04-23,Cleared,Critical,SIU016
FC234,CLM252,2025-10-07,Open,Medium,SIU020
FC235,CLM027,2025-04-21,Open,Low,SIU020
FC236,CLM264,2025-01-14,UnderReview,Medium,SIU014
FC237,CLM081,2025-10-24,Cleared,Critical,SIU010
FC238,CLM111,2025-08-06,Closed,High,SIU006
FC239,CLM269,2025-12-04,Open,Low,SIU007
FC240,CLM246,2025-07-09,Open,Critical,SIU002
FC241,CLM295,2025-04-25,Cleared,Critical,SIU016
FC242,CLM228,2025-08-07,ConfirmedFraud,High,SIU012
FC243,CLM235,2025-10-03,Open,High,SIU001
FC244,CLM073,2025-03-04,UnderReview,Medium,SIU005
FC245,CLM210,2025-09-29,Closed,Critical,SIU015
FC246,CLM240,2025-06-14,ConfirmedFraud,Medium,SIU014
FC247,CLM162,2025-05-01,ConfirmedFraud,Medium,SIU001
FC248,CLM207,2025-02-17,Open,Medium,SIU012
FC249,CLM076,2025-05-29,ConfirmedFraud,High,SIU020
FC250,CLM188,2025-11-08,Cleared,Critical,SIU009
FC251,CLM292,2025-05-10,Cleared,High,SIU017
FC252,CLM260,2025-12-30,Cleared,Low,SIU006
FC253,CLM261,2025-05-11,UnderReview,Medium,SIU019
FC254,CLM193,2025-03-07,Cleared,Low,SIU003
FC255,CLM138,2025-04-17,UnderReview,Critical,SIU020
FC256,CLM004,2025-09-23,Closed,Critical,SIU012
FC257,CLM180,2025-08-03,Cleared,High,SIU014
FC258,CLM175,2025-05-27,Closed,Critical,SIU005
FC259,CLM277,2025-02-14,Open,Medium,SIU008
FC260,CLM015,2025-03-03,ConfirmedFraud,Critical,SIU012
FC261,CLM197,2025-05-02,Open,Medium,SIU012
FC262,CLM222,2025-01-08,Closed,Medium,SIU017
FC263,CLM177,2025-09-04,Closed,High,SIU020
FC264,CLM032,2025-06-14,Open,Medium,SIU015
FC265,CLM288,2025-06-09,Closed,Medium,SIU010
FC266,CLM035,2025-04-06,UnderReview,Medium,SIU008
FC267,CLM225,2025-04-02,UnderReview,High,SIU002
FC268,CLM262,2025-05-16,ConfirmedFraud,Medium,SIU001
FC269,CLM186,2025-05-24,Cleared,Critical,SIU015
FC270,CLM119,2025-11-23,UnderReview,Critical,SIU005
FC271,CLM284,2025-06-23,Cleared,Critical,SIU015
FC272,CLM022,2025-10-12,Closed,Medium,SIU008
FC273,CLM060,2025-11-14,UnderReview,High,SIU001
FC274,CLM124,2025-04-20,ConfirmedFraud,High,SIU011
FC275,CLM197,2025-08-02,Cleared,Low,SIU011
FC276,CLM221,2025-06-24,ConfirmedFraud,Low,SIU004
FC277,CLM210,2025-02-02,Cleared,Medium,SIU019
FC278,CLM081,2025-11-18,Cleared,Critical,SIU015
FC279,CLM218,2025-12-31,Open,Low,SIU018
FC280,CLM074,2025-05-18,Open,Medium,SIU015
FC281,CLM297,2025-01-05,Open,Low,SIU003
FC282,CLM027,2025-08-12,Cleared,Critical,SIU018
FC283,CLM211,2025-09-01,ConfirmedFraud,Low,SIU017
FC284,CLM063,2025-07-30,Closed,High,SIU002
FC285,CLM254,2025-04-08,ConfirmedFraud,Critical,SIU016
FC286,CLM165,2025-04-23,Cleared,High,SIU017
FC287,CLM095,2025-05-07,Open,Low,SIU006
FC288,CLM150,2025-03-20,UnderReview,Low,SIU019
FC289,CLM176,2025-11-24,Open,Low,SIU020
FC290,,2025-04-28,UnderReview,Critical,
FC291,CLM167,2025-11-11,Closed,Low,SIU006
FC292,CLM084,2025-05-08,UnderReview,Low,SIU011
FC293,CLM026,2025-10-10,Cleared,High,SIU012
FC294,CLM028,2025-04-08,Open,High,SIU004
FC295,CLM167,2025-12-02,Closed,Critical,SIU020
FC296,CLM140,2025-02-21,Closed,Low,SIU016
FC297,CLM202,2025-10-11,Closed,Medium,SIU001
FC298,CLM040,2025-05-14,Closed,Low,SIU020
FC299,CLM178,2025-02-26,ConfirmedFraud,Critical,SIU001
FC300,CLM009,2025-05-26,ConfirmedFraud,Low,SIU015
