evidenceId,fraudCaseId,evidenceType,description,collectedDate
EV059,FC216,FinancialRecord,PoliceReport collected during investigation,2025-02-23
EV060,FC194,WitnessStatement,PoliceReport collected during investigation,2025-12-10
EV061,FC098,PoliceReport,MedicalRecord collected during investigation,2025-10-12
EV062,FC223,PhotoEvidence,PoliceReport collected during investigation,2025-04-01
EV063,FC173,PoliceReport,PoliceReport collected during investigation,2025-12-18
EV064,FC143,MedicalRecord,MedicalRecord collected during investigation,2025-02-18
EV065,FC196,FinancialRecord,PhotoEvidence collected during investigation,2025-01-07
EV066,FC036,WitnessStatement,PhotoEvidence collected during investigation,2025-07-09
EV067,FC039,FinancialRecord,PoliceReport collected during investigation,2025-01-13
EV068,FC029,FinancialRecord,FinancialRecord collected during investigation,2025-12-30
EV069,FC199,FinancialRecord,PhotoEvidence collected during investigation,2025-10-06
EV070,FC043,WitnessStatement,PoliceReport collected during investigation,2025-04-18
EV071,FC101,PoliceReport,PoliceReport collected during investigation,2025-03-18
EV072,FC145,MedicalRecord,WitnessStatement collected during investigation,2025-04-18
EV073,FC121,WitnessStatement,FinancialRecord collected during investigation,2025-11-15
EV074,FC002,MedicalRecord,PoliceReport collected during investigation,2025-06-16
EV075,FC043,PhotoEvidence,FinancialRecord collected during investigation,2025-10-01
EV076,FC109,MedicalRecord,FinancialRecord collected during investigation,2025-12-13
EV077,FC265,WitnessStatement,PhotoEvidence collected during investigation,2025-08-25
EV078,FC097,PhotoEvidence,WitnessStatement collected during investigation,2025-05-18
EV079,FC020,PoliceReport,WitnessStatement collected during investigation,2025-03-28
EV080,FC271,PhotoEvidence,FinancialRecord collected during investigation,2025-09-18
EV081,FC005,PhotoEvidence,PhotoEvidence collected during investigation,2025-10-14
EV082,FC116,WitnessStatement,PoliceReport collected during investigation,2025-03-02
EV083,FC068,PoliceReport,PoliceReport collected during investigation,2025-07-06
EV084,FC052,PoliceReport,PhotoEvidence collected during investigation,2025-08-06
EV085,FC129,WitnessStatement,PhotoEvidence collected during investigation,2025-05-26
EV086,FC030,PhotoEvidence,PhotoEvidence collected during investigation,2025-12-25
EV087,FC072,PhotoEvidence,PhotoEvidence collected during investigation,2025-09-27
EV088,FC253,FinancialRecord,PhotoEvidence collected during investigation,2025-10-20
EV089,FC205,FinancialRecord,FinancialRecord collected during investigation,2025-09-04
EV090,FC248,MedicalRecord,MedicalRecord collected during investigation,2025-04-27
EV091,FC069,MedicalRecord,FinancialRecord collected during investigation,2025-12-13
EV092,FC136,FinancialRecord,PhotoEvidence collected during investigation,2025-10-26
EV093,FC011,PoliceReport,PhotoEvidence collected during investigation,2025-04-06
EV094,FC276,WitnessStatement,FinancialRecord collected during investigation,2025-02-04
EV095,FC109,PoliceReport,FinancialRecord collected during investigation,2025-01-04
EV096,FC212,MedicalRecord,FinancialRecord collected during investigation,2025-03-07
EV097,FC240,MedicalRecord,FinancialRecord collected during investigation,2025-11-17
EV098,FC124,PoliceReport,PoliceReport collected during investigation,2025-01-13
EV099,FC274,PoliceReport,WitnessStatement collected during investigation,2025-05-26
EV100,FC217,PoliceReport,PoliceReport collected during investigation,2025-10-28
EV101,FC095,MedicalRecord,PhotoEvidence collected during investigation,2025-08-03
EV102,FC154,PhotoEvidence,WitnessStatement collected during investigation,2025-03-04
EV103,FC114,WitnessStatement,PhotoEvidence collected during investigation,2025-10-15
EV104,FC239,FinancialRecord,FinancialRecord collected during investigation,2025-09-06
EV105,FC197,FinancialRecord,FinancialRecord collected during investigation,2025-12-15
EV106,FC024,WitnessStatement,PhotoEvidence collected during investigation,2025-09-08
EV107,FC233,FinancialRecord,MedicalRecord collected during investigation,2025-04-29
EV108,FC026,FinancialRecord,WitnessStatement collected during investigation,2025-04-30
EV109,FC259,PhotoEvidence,WitnessStatement collected during investigation,2025-07-20
EV110,FC222,FinancialRecord,FinancialRecord collected during investigation,2025-03-05
EV111,FC225,FinancialRecord,PhotoEvidence collected during investigation,2025-01-31
EV112,FC088,PoliceReport,FinancialRecord collected during investigation,2025-09-21
EV113,FC009,FinancialRecord,MedicalRecord collected during investigation,2025-02-04
EV114,FC087,FinancialRecord,PhotoEvidence collected during investigation,2025-07-14
EV115,FC067,MedicalRecord,PoliceReport collected during investigation,2025-05-23
EV116,FC115,PoliceReport,FinancialRecord collected during investigation,2025-12-23
EV117,FC021,FinancialRecord,PhotoEvidence collected during investigation,2025-09-02
EV118,FC152,FinancialRecord,FinancialRecord collected during investigation,2025-05-03
EV119,FC091,FinancialRecord,PhotoEvidence collected during investigation,2025-03-10
EV120,FC230,PoliceReport,WitnessStatement collected during investigation,2025-12-16
EV121,FC104,PoliceReport,MedicalRecord collected during investigation,2025-02-02
EV122,FC137,PoliceReport,FinancialRecord collected during investigation,2025-10-07
EV123,FC106,MedicalRecord,WitnessStatement collected during investigation,2025-06-30
EV124,FC084,PhotoEvidence,MedicalRecord collected during investigation,2025-11-04
EV125,FC260,FinancialRecord,WitnessStatement collected during investigation,2025-05-24
EV126,FC244,MedicalRecord,PhotoEvidence collected during investigation,2025-06-05
EV127,FC051,PhotoEvidence,PhotoEvidence collected during investigation,2025-08-05
EV128,FC233,PoliceReport,PhotoEvidence collected during investigation,2025-04-05
EV129,FC066,FinancialRecord,MedicalRecord collected during investigation,2025-06-13
EV130,FC029,PhotoEvidence,PoliceReport collected during investigation,2025-06-27
EV131,FC232,PhotoEvidence,MedicalRecord collected during investigation,2025-09-01
EV132,FC128,PoliceReport,FinancialRecord collected during investigation,2025-09-03
EV133,FC118,PhotoEvidence,WitnessStatement collected during investigation,2025-10-03
EV134,FC019,PoliceReport,MedicalRecord collected during investigation,2025-10-15
EV135,FC203,FinancialRecord,WitnessStatement collected during investigation,2025-02-19
EV136,FC257,PoliceReport,MedicalRecord collected during investigation,2025-09-04
EV137,FC101,PoliceReport,FinancialRecord collected during investigation,2025-07-05
EV138,FC076,FinancialRecord,PoliceReport collected during investigation,2025-03-04
EV139,FC122,PoliceReport,PhotoEvidence collected during investigation,2025-04-28
EV140,FC013,MedicalRecord,FinancialRecord collected during investigation,2025-12-29
EV141,FC186,MedicalRecord,FinancialRecord collected during investigation,2025-09-30
EV142,FC197,WitnessStatement,MedicalRecord collected during investigation,2025-12-20
EV143,FC147,PhotoEvidence,FinancialRecord collected during investigation,2025-08-23
EV144,FC234,WitnessStatement,PhotoEvidence collected during investigation,2025-10-02
EV145,FC055,MedicalRecord,PoliceReport collected during investigation,2025-09-28
EV146,FC096,PoliceReport,WitnessStatement collected during investigation,2025-06-03
EV147,FC124,FinancialRecord,WitnessStatement collected during investigation,2025-08-02
EV148,FC071,MedicalRecord,PhotoEvidence collected during investigation,2025-05-21
EV149,FC031,WitnessStatement,WitnessStatement collected during investigation,2025-10-15
EV150,FC134,PhotoEvidence,PoliceReport collected during investigation,2025-10-21
EV151,FC165,WitnessStatement,MedicalRecord collected during investigation,2025-05-08
EV152,FC038,FinancialRecord,WitnessStatement collected during investigation,2025-10-16
EV153,FC058,MedicalRecord,PoliceReport collected during investigation,2025-10-30
EV154,FC144,WitnessStatement,FinancialRecord collected during investigation,2025-05-14
EV155,FC242,PhotoEvidence,PoliceReport collected during investigation,2025-02-02
EV156,FC123,MedicalRecord,WitnessStatement collected during investigation,2025-03-02
EV157,FC148,MedicalRecord,FinancialRecord collected during investigation,2025-05-17
EV158,FC246,PhotoEvidence,FinancialRecord collected during investigation,2025-11-18
EV159,FC218,FinancialRecord,MedicalRecord collected during investigation,2025-12-19
EV160,FC207,MedicalRecord,MedicalRecord collected during investigation,2025-01-03
EV161,FC254,PhotoEvidence,PoliceReport collected during investigation,2025-05-13
EV162,FC140,MedicalRecord,PoliceReport collected during investigation,2025-02-22
EV163,FC267,PhotoEvidence,PhotoEvidence collected during investigation,2025-12-19
EV164,FC252,WitnessStatement,PhotoEvidence collected during investigation,2025-05-19
EV165,FC106,PhotoEvidence,WitnessStatement collected during investigation,2025-08-21
EV166,FC023,PhotoEvidence,FinancialRecord collected during investigation,2025-04-24
EV167,FC116,PoliceReport,PhotoEvidence collected during investigation,2025-10-08
EV168,FC248,PoliceReport,FinancialRecord collected during investigation,2025-12-29
EV169,FC127,PoliceReport,FinancialRecord collected during investigation,2025-08-29
EV170,FC082,MedicalRecord,PoliceReport collected during investigation,2025-11-20
EV171,FC158,PoliceReport,PhotoEvidence collected during investigation,2025-07-14
EV172,FC259,FinancialRecord,PoliceReport collected during investigation,2025-08-23
EV173,FC106,FinancialRecord,WitnessStatement collected during investigation,2025-04-17
EV174,FC154,PhotoEvidence,WitnessStatement collected during investigation,2025-01-06
EV175,FC209,MedicalRecord,PhotoEvidence collected during investigation,2025-08-10
EV176,FC122,FinancialRecord,WitnessStatement collected during investigation,2025-01-02
EV177,FC184,PoliceReport,MedicalRecord collected during investigation,2025-10-21
EV178,FC224,MedicalRecord,FinancialRecord collected during investigation,2025-09-12
EV179,FC076,WitnessStatement,PhotoEvidence collected during investigation,2025-03-10
EV180,FC077,WitnessStatement,PoliceReport collected during investigation,2025-12-08
EV181,FC072,FinancialRecord,FinancialRecord collected during investigation,2025-03-07
EV182,FC259,PoliceReport,FinancialRecord collected during investigation,2025-06-01
EV183,FC034,PhotoEvidence,FinancialRecord collected during investigation,2025-04-02
EV184,FC209,PhotoEvidence,PhotoEvidence collected during investigation,2025-12-26
EV185,FC296,PoliceReport,PhotoEvidence collected during investigation,2025-06-15
EV186,FC185,FinancialRecord,MedicalRecord collected during investigation,2025-08-09
EV187,FC201,MedicalRecord,WitnessStatement collected during investigation,2025-01-11
EV188,FC270,FinancialRecord,WitnessStatement collected during investigation,2025-08-09
EV189,FC282,PoliceReport,FinancialRecord collected during investigation,2025-08-04
EV190,FC012,MedicalRecord,PoliceReport collected during investigation,2025-11-19
EV191,FC047,MedicalRecord,PoliceReport collected during investigation,2025-02-06
EV192,FC045,PoliceReport,PoliceReport collected during investigation,2025-08-02
EV193,FC087,PoliceReport,MedicalRecord collected during investigation,2025-06-01
EV194,FC100,FinancialRecord,WitnessStatement collected during investigation,2025-02-27
EV195,FC083,FinancialRecord,PhotoEvidence collected during investigation,2025-02-11
EV196,FC041,WitnessStatement,PoliceReport collected during investigation,2025-12-29
EV197,FC160,PhotoEvidence,PoliceReport collected during investigation,2025-04-07
EV198,FC252,FinancialRecord,FinancialRecord collected during investigation,2025-04-10
EV199,FC024,PhotoEvidence,FinancialRecord collected during investigation,2025-09-16
EV200,FC176,FinancialRecord,WitnessStatement collected during investigation,2025-10-29
EV201,FC003,PhotoEvidence,FinancialRecord collected during investigation,2025-11-26
EV202,FC089,FinancialRecord,PhotoEvidence collected during investigation,2025-02-09
EV203,FC045,FinancialRecord,FinancialRecord collected during investigation,2025-07-21
EV204,FC091,PhotoEvidence,WitnessStatement collected during investigation,2025-04-15
EV205,FC134,WitnessStatement,WitnessStatement collected during investigation,2025-01-31
EV206,FC234,PhotoEvidence,PoliceReport collected during investigation,2025-01-13
EV207,FC035,FinancialRecord,MedicalRecord collected during investigation,2025-01-21
EV208,FC014,MedicalRecord,PoliceReport collected during investigation,2025-06-07
EV209,FC188,PhotoEvidence,MedicalRecord collected during investigation,2025-07-19
EV210,FC049,MedicalRecord,PhotoEvidence collected during investigation,2025-06-09
EV211,FC221,WitnessStatement,MedicalRecord collected during investigation,2025-06-21
EV212,FC272,MedicalRecord,PoliceReport collected during investigation,2025-03-06
EV213,FC289,MedicalRecord,FinancialRecord collected during investigation,2025-04-05
EV214,FC079,PhotoEvidence,FinancialRecord collected during investigation,2025-11-08
EV215,FC272,FinancialRecord,MedicalRecord collected during investigation,2025-04-22
EV216,FC212,PoliceReport,WitnessStatement collected during investigation,2025-10-14
EV217,FC132,PoliceReport,MedicalRecord collected during investigation,2025-06-11
EV218,FC285,PoliceReport,MedicalRecord collected during investigation,2025-10-25
EV219,FC216,FinancialRecord,PoliceReport collected during investigation,2025-06-04
EV220,FC251,PoliceReport,FinancialRecord collected during investigation,2025-02-17
EV221,FC299,PoliceReport,FinancialRecord collected during investigation,2025-06-10
EV222,FC127,FinancialRecord,PoliceReport collected during investigation,2025-06-27
EV223,FC275,WitnessStatement,PoliceReport collected during investigation,2025-12-22
EV224,FC079,PoliceReport,PoliceReport collected during investigation,2025-02-21
EV225,FC044,WitnessStatement,MedicalRecord collected during investigation,2025-01-22
EV226,FC063,WitnessStatement,PhotoEvidence collected during investigation,2025-08-14
EV227,FC256,MedicalRecord,FinancialRecord collected during investigation,2025-05-11
EV228,FC270,FinancialRecord,PoliceReport collected during investigation,2025-03-16
EV229,FC197,MedicalRecord,FinancialRecord collected during investigation,2025-09-15
EV230,FC160,MedicalRecord,MedicalRecord collected during investigation,2025-01-27
EV231,FC046,MedicalRecord,MedicalRecord collected during investigation,2025-11-29
EV232,FC049,PhotoEvidence,MedicalRecord collected during investigation,2025-10-02
EV233,FC254,PhotoEvidence,FinancialRecord collected during investigation,2025-12-27
EV234,FC058,WitnessStatement,PhotoEvidence collected during investigation,2025-06-28
EV235,FC142,WitnessStatement,WitnessStatement collected during investigation,2025-04-01
EV236,FC063,WitnessStatement,PoliceReport collected during investigation,2025-09-09
EV237,FC142,PhotoEvidence,PhotoEvidence collected during investigation,2025-09-10
EV238,FC214,PoliceReport,PoliceReport collected during investigation,2025-03-07
EV239,FC052,WitnessStatement,PoliceReport collected during investigation,2025-06-29
EV240,FC004,PoliceReport,FinancialRecord collected during investigation,2025-06-22
EV241,FC286,PhotoEvidence,WitnessStatement collected during investigation,2025-09-26
EV242,FC098,MedicalRecord,PhotoEvidence collected during investigation,2025-03-08
EV243,FC060,MedicalRecord,FinancialRecord collected during investigation,2025-05-01
EV244,FC145,MedicalRecord,WitnessStatement collected during investigation,2025-10-09
EV245,FC227,PoliceReport,PoliceReport collected during investigation,2025-11-26
EV246,FC279,MedicalRecord,MedicalRecord collected during investigation,2025-08-23
EV247,FC004,FinancialRecord,MedicalRecord collected during investigation,2025-07-02
EV248,FC298,FinancialRecord,MedicalRecord collected during investigation,2025-05-03
EV249,FC015,FinancialRecord,PoliceReport collected during investigation,2025-06-08
EV250,FC285,PoliceReport,FinancialRecord collected during investigation,2025-01-01
EV251,FC040,MedicalRecord,WitnessStatement collected during investigation,2025-05-16
EV252,FC200,FinancialRecord,PoliceReport collected during investigation,2025-10-15
EV253,FC204,PoliceReport,FinancialRecord collected during investigation,2025-04-22
EV254,FC150,FinancialRecord,PoliceReport collected during investigation,2025-02-04
EV255,FC109,WitnessStatement,PoliceReport collected during investigation,2025-11-22
EV256,FC153,PoliceReport,MedicalRecord collected during investigation,2025-07-17
EV257,FC169,WitnessStatement,PhotoEvidence collected during investigation,2025-11-25
EV258,FC203,FinancialRecord,MedicalRecord collected during investigation,2025-07-31
EV259,FC177,MedicalRecord,PoliceReport collected during investigation,2025-05-28
EV260,FC047,PhotoEvidence,FinancialRecord collected during investigation,2025-03-10
EV261,FC050,PoliceReport,WitnessStatement collected during investigation,2025-07-29
EV262,FC247,PhotoEvidence,PoliceReport collected during investigation,2025-07-31
EV263,FC296,WitnessStatement,WitnessStatement collected during investigation,2025-02-09
EV264,FC103,WitnessStatement,FinancialRecord collected during investigation,2025-01-12
EV265,FC253,PoliceReport,PhotoEvidence collected during investigation,2025-07-21
EV266,FC084,WitnessStatement,MedicalRecord collected during investigation,2025-09-12
EV267,FC047,MedicalRecord,PoliceReport collected during investigation,2025-12-10
EV268,FC019,MedicalRecord,MedicalRecord collected during investigation,2025-11-05
EV269,FC214,PoliceReport,MedicalRecord collected during investigation,2025-03-28
EV270,FC042,PhotoEvidence,PoliceReport collected during investigation,2025-10-15
EV271,FC238,FinancialRecord,FinancialRecord collected during investigation,2025-12-18
EV272,FC107,WitnessStatement,WitnessStatement collected during investigation,2025-01-03
EV273,FC051,WitnessStatement,MedicalRecord collected during investigation,2025-11-17
EV274,FC038,PhotoEvidence,PhotoEvidence collected during investigation,2025-02-20
EV275,FC213,WitnessStatement,FinancialRecord collected during investigation,2025-04-29
EV276,FC274,PoliceReport,PhotoEvidence collected during investigation,2025-11-05
EV277,FC273,WitnessStatement,MedicalRecord collected during investigation,2025-01-16
EV278,FC157,PoliceReport,WitnessStatement collected during investigation,2025-09-30
EV279,FC075,FinancialRecord,PoliceReport collected during investigation,2025-07-02
EV280,FC090,MedicalRecord,FinancialRecord collected during investigation,2025-06-15
EV281,FC062,PhotoEvidence,WitnessStatement collected during investigation,2025-04-13
EV282,FC282,FinancialRecord,PoliceReport collected during investigation,2025-11-14
EV283,FC175,WitnessStatement,PoliceReport collected during investigation,2025-10-26
EV284,FC060,PoliceReport,WitnessStatement collected during investigation,2025-02-04
EV285,FC188,PhotoEvidence,FinancialRecord collected during investigation,2025-09-17
EV286,FC015,MedicalRecord,FinancialRecord collected during investigation,2025-02-02
EV287,FC189,MedicalRecord,MedicalRecord collected during investigation,2025-04-16
EV288,FC257,WitnessStatement,PoliceReport collected during investigation,2025-10-14
EV289,FC224,PoliceReport,PhotoEvidence collected during investigation,2025-04-24
EV290,FC055,MedicalRecord,MedicalRecord collected during investigation,2025-12-04
EV291,FC284,WitnessStatement,MedicalRecord collected during investigation,2025-01-01
EV292,FC025,MedicalRecord,PoliceReport collected during investigation,2025-01-30
EV293,FC245,PhotoEvidence,FinancialRecord collected during investigation,2025-06-04
EV294,FC182,FinancialRecord,FinancialRecord collected during investigation,2025-10-03
EV295,FC083,PoliceReport,MedicalRecord collected during investigation,2025-11-15
EV296,FC108,PoliceReport,MedicalRecord collected during investigation,2025-10-29
EV297,FC053,WitnessStatement,PhotoEvidence collected during investigation,2025-10-23
EV298,FC273,PhotoEvidence,WitnessStatement collected during investigation,2025-08-10
EV299,FC077,PhotoEvidence,MedicalRecord collected during investigation,2025-03-06
EV300,FC197,MedicalRecord,PoliceReport collected during investigation,2025-09-27
