claimId,amount,status,submissionDate
CLM145,12192,UnderReview,2025-08-18
CLM146,1236,Approved,2025-05-02
CLM147,5790,Rejected,2025-12-23
CLM148,48105,UnderReview,2025-04-13
CLM149,56762,Approved,2025-02-23
CLM150,6932,Rejected,2025-09-26
CLM151,28247,UnderReview,2025-11-14
CLM152,31353,Rejected,2025-03-12
CLM153,41207,Approved,2025-07-17
CLM154,3866,UnderReview,2025-12-01
CLM155,42455,Rejected,2025-10-26
CLM156,4633,UnderReview,2025-08-10
CLM157,43324,UnderReview,2025-03-06
CLM158,41827,UnderReview,2025-07-26
CLM159,12467,UnderReview,2025-05-21
CLM160,15933,Rejected,2025-12-26
CLM161,810,UnderReview,2025-03-16
CLM162,45874,Approved,2025-10-18
CLM163,20394,Approved,2025-12-21
CLM164,39303,Approved,2025-02-15
CLM165,52455,Rejected,2025-10-17
CLM166,33185,UnderReview,2025-01-12
CLM167,33654,Rejected,2025-07-09
CLM168,3628,Rejected,2025-07-31
CLM169,39372,UnderReview,2025-12-10
CLM170,20515,Approved,2025-06-21
CLM171,49432,Rejected,2025-05-17
CLM172,10599,UnderReview,2025-09-08
CLM173,12457,Rejected,2025-09-15
CLM174,39544,Approved,2025-02-17
CLM175,14244,Rejected,2025-07-27
CLM176,53077,Approved,2025-04-30
CLM177,23217,UnderReview,2025-01-20
CLM178,30494,Rejected,2025-01-29
CLM179,41979,UnderReview,2025-06-24
CLM180,8661,Rejected,2025-12-04
CLM181,55778,Approved,2025-08-26
CLM182,46072,Rejected,2025-08-09
CLM183,57502,Rejected,2025-12-19
CLM184,26989,Rejected,2025-08-10
CLM185,10938,Approved,2025-10-28
CLM186,57840,UnderReview,2025-12-10
CLM187,39546,UnderReview,2025-01-15
CLM188,38672,Rejected,2025-07-23
CLM189,59511,Rejected,2025-05-04
CLM190,22356,Approved,2025-11-07
CLM191,31011,Rejected,2025-11-24
CLM192,51523,UnderReview,2025-10-04
CLM193,58130,Approved,2025-03-05
CLM194,7217,UnderReview,2025-12-21
CLM195,43584,UnderReview,2025-02-03
CLM196,58075,Rejected,2025-12-25
CLM197,23415,Rejected,2025-11-13
CLM198,6947,UnderReview,2025-03-24
CLM199,42248,UnderReview,2025-11-17
CLM200,33708,Rejected,2025-06-28
CLM201,56075,Approved,2025-09-27
CLM202,12111,Rejected,2025-01-25
CLM203,17288,Rejected,2025-07-17
CLM204,33832,UnderReview,2025-12-17
CLM205,58361,Approved,2025-02-22
CLM206,17652,Approved,2025-11-03
CLM207,11294,Approved,2025-11-01
CLM208,2340,Approved,2025-10-03
CLM209,28208,Rejected,2025-02-20
CLM210,24844,Approved,2025-11-22
CLM211,30010,Approved,2025-05-10
CLM212,8425,UnderReview,2025-11-13
CLM213,21219,Rejected,2025-06-10
CLM214,3604,Approved,2025-10-02
CLM215,34581,Rejected,2025-01-08
CLM216,14257,Rejected,2025-06-23
CLM217,29972,Approved,2025-09-02
CLM218,43871,Rejected,2025-12-22
CLM219,36505,Approved,2025-10-06
CLM220,33588,Approved,2025-05-21
CLM221,50504,UnderReview,2025-04-29
CLM222,29154,Rejected,2025-06-29
CLM223,47928,UnderReview,2025-02-05
CLM224,52293,UnderReview,2025-04-13
CLM225,30948,UnderReview,2025-08-26
CLM226,48830,Rejected,2025-08-03
CLM227,3540,UnderReview,2025-08-27
CLM228,42621,Rejected,2025-07-24
CLM229,53890,Rejected,2025-03-30
CLM230,10511,Approved,2025-07-10
CLM231,31619,Approved,2025-08-18
CLM232,26183,Approved,2025-10-08
CLM233,14470,Approved,2025-10-04
CLM234,34582,UnderReview,2025-07-29
CLM235,41776,UnderReview,2025-08-05
CLM236,38689,Approved,2025-10-01
CLM237,9764,UnderReview,2025-07-05
CLM238,38153,Approved,2025-03-25
CLM239,34269,Rejected,2025-04-03
CLM240,59114,UnderReview,2025-09-12
CLM241,33846,Rejected,2025-04-24
CLM242,8379,UnderReview,2025-07-10
CLM243,44162,UnderReview,2025-11-26
CLM244,39585,UnderReview,2025-06-04
CLM245,35012,Rejected,2025-01-16
CLM246,2591,UnderReview,2025-03-12
CLM247,45524,Rejected,2025-09-21
CLM248,37074,UnderReview,2025-03-23
CLM249,9066,Rejected,2025-09-15
CLM250,1163,Approved,2025-06-26
CLM251,53225,Rejected,2025-03-22
CLM252,53078,UnderReview,2025-07-28
CLM253,44252,UnderReview,2025-09-23
CLM254,31267,UnderReview,2025-10-04
CLM255,53428,UnderReview,2025-04-22
CLM256,6830,Rejected,2025-04-16
CLM257,9978,Approved,2025-04-22
CLM258,7326,UnderReview,2025-02-09
CLM259,28301,Rejected,2025-10-20
CLM260,15414,UnderReview,2025-03-11
CLM261,12205,Rejected,2025-02-28
CLM262,20669,Approved,2025-07-26
CLM263,43833,UnderReview,2025-01-27
CLM264,50795,Rejected,2025-05-01
CLM265,43525,UnderReview,2025-02-22
CLM266,47965,Rejected,2025-03-11
CLM267,35125,UnderReview,2025-12-01
CLM268,18012,Rejected,2025-12-23
CLM269,16664,Approved,2025-07-12
CLM270,33707,UnderReview,2025-05-15
CLM271,31303,Approved,2025-11-16
CLM272,3604,Approved,2025-11-05
CLM273,6528,Rejected,2025-05-20
CLM274,3573,Approved,2025-06-06
CLM275,49938,Rejected,2025-07-08
CLM276,34269,Approved,2025-06-20
CLM277,14628,UnderReview,2025-11-16
CLM278,47903,Rejected,2025-10-05
CLM279,42239,Rejected,2025-08-22
CLM280,41086,Rejected,2025-04-18
CLM281,58765,UnderReview,2025-01-23
CLM282,45498,Approved,2025-04-10
CLM283,37782,UnderReview,2025-10-22
CLM284,38178,Rejected,2025-05-11
CLM285,57897,Rejected,2025-12-16
CLM286,53756,UnderReview,2025-10-18
CLM287,30566,UnderReview,2025-03-22
CLM288,18751,UnderReview,2025-11-02
CLM289,15193,UnderReview,2025-07-04
CLM290,17872,Approved,2025-01-16
CLM291,44671,UnderReview,2025-06-24
CLM292,6551,Approved,2025-08-23
CLM293,29828,Approved,2025-08-19
CLM294,44536,Approved,2025-06-07
CLM295,8552,Rejected,2025-04-07
CLM296,22792,Rejected,2025-07-18
CLM297,37813,UnderReview,2025-03-09
CLM298,4487,Rejected,2025-01-14
CLM299,49523,Rejected,2025-10-15
CLM300,52549,UnderReview,2025-12-18
