outcomeId,fraudCaseId,investigatorId,decision,decisionDate
OUT231,FC236,SIU003,Inconclusive,2025-06-11
OUT232,FC237,SIU018,Inconclusive,2025-10-18
OUT233,FC238,SIU009,Cleared,2025-08-18
OUT234,FC239,SIU006,Cleared,2025-02-28
OUT235,FC240,SIU001,Cleared,2025-06-20
OUT236,FC241,SIU019,Cleared,2025-11-03
OUT237,FC242,SIU014,Inconclusive,2025-05-10
OUT238,FC243,SIU020,Inconclusive,2025-06-30
OUT239,FC244,SIU016,Inconclusive,2025-07-15
OUT240,FC245,SIU006,Inconclusive,2025-10-02
OUT241,FC246,SIU010,ConfirmedFraud,2025-03-29
OUT242,FC247,SIU017,Cleared,2025-07-28
OUT243,FC248,SIU010,ConfirmedFraud,2025-08-12
OUT244,FC249,SIU006,Inconclusive,2025-04-11
OUT245,FC250,SIU020,Inconclusive,2025-05-31
OUT246,FC251,SIU016,Inconclusive,2025-05-23
OUT247,FC252,SIU004,Inconclusive,2025-12-24
OUT248,FC253,SIU008,Cleared,2025-06-18
OUT249,FC254,SIU005,Inconclusive,2025-06-26
OUT250,FC255,SIU010,ConfirmedFraud,2025-01-24
OUT251,FC256,SIU002,ConfirmedFraud,2025-08-27
OUT252,FC257,SIU011,Inconclusive,2025-11-14
OUT253,FC258,SIU002,Cleared,2025-03-12
OUT254,FC259,SIU001,ConfirmedFraud,2025-01-27
OUT255,FC260,SIU009,Inconclusive,2025-02-12
OUT256,FC261,SIU019,Inconclusive,2025-05-17
OUT257,FC262,SIU014,ConfirmedFraud,2025-06-01
OUT258,FC263,SIU011,Cleared,2025-04-17
OUT259,FC264,SIU001,Inconclusive,2025-02-09
OUT260,FC265,SIU003,Inconclusive,2025-08-10
OUT261,FC266,SIU001,ConfirmedFraud,2025-11-16
OUT262,FC267,SIU013,ConfirmedFraud,2025-02-26
OUT263,FC268,SIU011,ConfirmedFraud,2025-03-26
OUT264,FC269,SIU017,Cleared,2025-07-09
OUT265,FC270,SIU017,Inconclusive,2025-03-12
OUT266,FC271,SIU018,Inconclusive,2025-02-24
OUT267,FC272,SIU019,ConfirmedFraud,2025-12-02
OUT268,FC273,SIU006,Inconclusive,2025-10-09
OUT269,FC274,SIU017,Inconclusive,2025-05-10
OUT270,FC275,SIU010,Inconclusive,2025-07-01
OUT271,FC276,SIU014,Inconclusive,2025-12-24
OUT272,FC277,SIU005,Cleared,2025-12-19
OUT273,FC278,SIU015,Inconclusive,2025-12-05
OUT274,FC279,SIU006,Inconclusive,2025-11-24
OUT275,FC280,SIU008,ConfirmedFraud,2025-09-10
OUT276,FC281,SIU004,ConfirmedFraud,2025-03-24
OUT277,FC282,SIU004,Cleared,2025-11-01
OUT278,FC283,SIU020,ConfirmedFraud,2025-11-10
OUT279,FC284,SIU012,ConfirmedFraud,2025-05-22
OUT280,FC285,SIU020,Inconclusive,2025-05-08
OUT281,FC286,SIU013,Inconclusive,2025-10-07
OUT282,FC287,SIU017,ConfirmedFraud,2025-10-10
OUT283,FC288,SIU004,Inconclusive,2025-09-29
OUT284,FC289,SIU001,Cleared,2025-04-08
OUT285,FC291,SIU006,ConfirmedFraud,2025-09-27
OUT286,FC292,SIU013,ConfirmedFraud,2025-12-31
OUT287,FC293,SIU008,Cleared,2025-03-31
OUT288,FC294,SIU002,ConfirmedFraud,2025-06-24
OUT289,FC295,SIU010,Cleared,2025-12-17
OUT290,FC296,SIU008,Cleared,2025-08-15
OUT291,FC297,SIU011,Inconclusive,2025-02-07
OUT292,FC298,SIU019,Cleared,2025-05-28
OUT293,FC299,SIU001,Inconclusive,2025-04-03
OUT294,FC300,SIU002,Cleared,2025-07-22
