policyId,policyholderId,policyLimit,coverageType,premium
POL117,PH034,50000,Life,7385
POL118,PH194,150000,Auto,3968
POL119,PH298,30000,Home,7179
POL120,PH210,150000,Home,2303
POL121,PH042,50000,Auto,4154
POL122,PH217,30000,Home,2854
POL123,PH009,40000,Auto,3865
POL124,PH150,30000,Auto,7493
POL125,PH002,60000,Life,6682
POL126,PH289,60000,Auto,5713
POL127,PH196,30000,Auto,2444
POL128,PH145,60000,Life,7692
POL129,PH291,30000,Home,715
POL130,,40000,Auto,6226
POL131,PH108,50000,Auto,1129
POL132,PH068,30000,Home,6873
POL133,PH043,150000,Life,5477
POL134,PH175,150000,Home,1248
POL135,PH078,100000,Auto,4887
POL136,PH232,100000,Home,5742
POL137,PH212,60000,Life,3885
POL138,PH087,50000,Life,3004
POL139,PH039,150000,Life,7538
POL140,PH172,30000,Auto,2460
POL141,PH027,150000,Auto,3219
POL142,PH229,150000,Life,5695
POL143,PH088,30000,Auto,7034
POL144,PH257,60000,Home,7759
POL145,PH256,50000,Auto,2963
POL146,PH129,100000,Auto,4733
POL147,PH116,75000,Home,3639
POL148,PH284,40000,Home,5372
POL149,,60000,Auto,3414
POL150,PH051,75000,Life,2751
POL151,PH078,25000,Life,1796
POL152,PH109,75000,Life,6829
POL153,PH052,30000,Auto,4607
POL154,PH119,30000,Life,7034
POL155,PH195,150000,Life,2886
POL156,PH226,60000,Home,867
POL157,PH031,75000,Home,4303
POL158,PH188,75000,Auto,4850
POL159,PH262,40000,Auto,4455
POL160,PH259,100000,Life,6857
POL161,PH158,40000,Auto,2300
POL162,PH120,60000,Auto,4822
POL163,PH129,100000,Life,6226
POL164,PH129,60000,Auto,6495
POL165,PH066,100000,Life,661
POL166,PH231,25000,Life,7667
POL167,PH017,75000,Life,2502
POL168,PH240,25000,Life,3772
POL169,PH242,150000,Life,1165
POL170,PH014,60000,Life,5702
POL171,PH008,40000,Auto,1278
POL172,PH136,60000,Life,6575
POL173,PH059,30000,Life,7792
POL174,PH096,100000,Life,1283
POL175,PH029,25000,Life,4453
POL176,PH105,100000,Auto,2702
POL177,PH288,25000,Home,519
POL178,PH271,75000,Auto,6106
POL179,PH115,40000,Home,2806
POL180,PH262,30000,Home,7081
POL181,PH109,75000,Life,1737
POL182,PH231,25000,Auto,7480
POL183,PH228,50000,Life,4530
POL184,PH272,75000,Auto,645
POL185,PH237,60000,Auto,456
POL186,PH158,30000,Life,2376
POL187,PH023,40000,Auto,2399
POL188,PH178,30000,Home,1441
POL189,PH081,75000,Life,5918
POL190,PH053,60000,Life,3763
POL191,PH063,100000,Life,7585
POL192,PH062,100000,Life,1383
POL193,PH201,150000,Auto,3842
POL194,PH168,40000,Life,1120
POL195,PH089,100000,Life,5580
POL196,PH048,150000,Life,1158
POL197,PH059,60000,Auto,1517
POL198,PH132,60000,Life,6746
POL199,PH125,150000,Life,5947
POL200,PH161,60000,Home,6916
POL201,PH113,25000,Life,4390
POL202,PH284,25000,Home,677
POL203,PH258,75000,Life,5171
POL204,PH106,50000,Life,1512
POL205,PH153,25000,Auto,558
POL206,PH281,60000,Auto,4126
POL207,PH096,30000,Auto,2783
POL208,PH057,25000,Home,4581
POL209,PH040,75000,Home,6291
POL210,PH130,150000,Life,6078
POL211,PH049,30000,Auto,3004
POL212,PH092,75000,Auto,4373
POL213,,40000,Life,7016
POL214,PH146,25000,Home,6659
POL215,PH101,100000,Life,955
POL216,PH210,60000,Home,5856
POL217,PH160,25000,Auto,3100
POL218,PH191,40000,Auto,1376
POL219,PH221,100000,Life,7270
POL220,PH290,30000,Life,407
POL221,PH145,25000,Auto,5357
POL222,PH273,40000,Home,5838
POL223,PH272,75000,Auto,2560
POL224,PH154,50000,Home,6308
POL225,PH059,100000,Auto,3066
POL226,PH026,30000,Home,2552
POL227,PH106,75000,Life,3007
POL228,PH067,25000,Home,1490
POL229,PH079,150000,Auto,7543
POL230,PH151,60000,Home,4434
POL231,PH009,25000,Home,1239
POL232,PH133,100000,Auto,4714
POL233,PH276,40000,Life,7182
POL234,PH216,40000,Home,4161
POL235,PH227,50000,Life,2274
POL236,PH197,60000,Auto,5120
POL237,PH231,30000,Home,5849
POL238,PH094,25000,Home,4612
POL239,PH162,30000,Auto,6509
POL240,PH058,75000,Auto,6685
POL241,PH279,25000,Auto,1868
POL242,PH199,30000,Life,4710
POL243,PH029,150000,Life,5567
POL244,PH054,100000,Life,2349
POL245,PH298,60000,Auto,2329
POL246,PH252,40000,Home,4111
POL247,PH224,40000,Home,6678
POL248,PH247,100000,Home,7585
POL249,PH125,60000,Auto,4575
POL250,PH115,100000,Life,2223
POL251,PH169,40000,Home,728
POL252,PH075,60000,Home,3085
POL253,PH082,50000,Auto,3264
POL254,PH188,50000,Life,2658
POL255,PH214,60000,Life,7896
POL256,PH274,50000,Life,1625
POL257,PH059,30000,Auto,3199
POL258,PH051,25000,Life,4642
POL259,PH151,60000,Home,2058
POL260,PH087,60000,Life,5946
POL261,PH255,50000,Life,3263
POL262,PH070,25000,Life,1056
POL263,PH032,40000,Life,3188
POL264,PH259,25000,Auto,533
POL265,PH111,25000,Life,4044
POL266,PH180,100000,Life,3334
POL267,PH014,40000,Life,4989
POL268,PH043,75000,Auto,7647
POL269,PH023,60000,Life,6511
POL270,PH298,30000,Life,3289
POL271,PH072,30000,Home,2577
POL272,PH017,100000,Home,7754
POL273,PH066,50000,Auto,5801
POL274,PH216,150000,Auto,4226
POL275,PH177,60000,Auto,1905
POL276,PH248,40000,Auto,4135
POL277,PH126,25000,Auto,1708
POL278,PH028,30000,Life,7406
POL279,PH220,40000,Auto,4408
POL280,PH043,50000,Auto,7627
POL281,PH204,25000,Life,3343
POL282,PH260,60000,Auto,3689
POL283,PH112,150000,Home,6332
POL284,PH132,30000,Home,3869
POL285,PH044,40000,Auto,2342
POL286,,30000,Auto,3035
POL287,PH204,30000,Life,5192
POL288,PH063,40000,Home,2624
POL289,PH132,100000,Auto,6963
POL290,PH230,75000,Life,7550
POL291,PH177,100000,Home,4327
POL292,PH103,25000,Auto,1581
POL293,PH019,25000,Life,799
POL294,PH099,100000,Home,6117
POL295,PH181,30000,Life,1964
POL296,PH012,150000,Auto,5491
POL297,,60000,Auto,7457
POL298,PH130,50000,Home,7947
POL299,PH101,25000,Home,6597
POL300,PH227,40000,Auto,623
