referralSourceId,fraudCaseId,sourceType,referralDate
RS088,FC091,LawEnforcementReferral,2025-09-13
RS089,FC092,LawEnforcementReferral,2025-01-25
RS090,FC093,LawEnforcementReferral,2025-02-19
RS091,FC094,AnonymousTip,2025-06-14
RS092,FC095,AnonymousTip,2025-09-22
RS093,FC096,LawEnforcementReferral,2025-03-30
RS094,FC097,ClaimsAdjusterFlag,2025-09-16
RS095,FC098,LawEnforcementReferral,2025-09-02
RS096,FC099,AnonymousTip,2025-05-17
RS097,FC100,LawEnforcementReferral,2025-01-20
RS098,FC101,LawEnforcementReferral,2025-04-26
RS099,FC102,InternalAudit,2025-02-20
RS100,FC103,InternalAudit,2025-05-21
RS101,FC104,AnonymousTip,2025-07-07
RS102,FC105,InternalAudit,2025-06-02
RS103,FC106,ClaimsAdjusterFlag,2025-05-17
RS104,FC107,AutomatedFraudModel,2025-03-08
RS105,FC108,AutomatedFraudModel,2025-04-17
RS106,FC109,LawEnforcementReferral,2025-06-10
RS107,FC110,AutomatedFraudModel,2025-07-02
RS108,FC111,ClaimsAdjusterFlag,2025-10-05
RS109,FC112,AutomatedFraudModel,2025-09-18
RS110,FC113,ClaimsAdjusterFlag,2025-03-09
RS111,FC114,AnonymousTip,2025-09-11
RS112,FC115,InternalAudit,2025-03-31
RS113,FC116,AutomatedFraudModel,2025-02-27
RS114,FC117,ClaimsAdjusterFlag,2025-11-10
RS115,FC118,AutomatedFraudModel,2025-01-24
RS116,FC119,LawEnforcementReferral,2025-05-12
RS117,FC121,InternalAudit,2025-03-28
RS118,FC122,ClaimsAdjusterFlag,2025-01-01
RS119,FC123,AutomatedFraudModel,2025-03-25
RS120,FC124,ClaimsAdjusterFlag,2025-01-07
RS121,FC125,ClaimsAdjusterFlag,2025-04-15
RS122,FC126,AnonymousTip,2025-10-26
RS123,FC128,InternalAudit,2025-11-03
RS124,FC129,LawEnforcementReferral,2025-08-03
RS125,FC130,AnonymousTip,2025-11-08
RS126,FC131,InternalAudit,2025-12-24
RS127,FC132,AutomatedFraudModel,2025-04-23
RS128,FC133,LawEnforcementReferral,2025-01-18
RS129,FC134,LawEnforcementReferral,2025-04-18
RS130,FC135,AutomatedFraudModel,2025-02-08
RS131,FC136,LawEnforcementReferral,2025-06-17
RS132,FC137,AutomatedFraudModel,2025-10-11
RS133,FC138,ClaimsAdjusterFlag,2025-05-05
RS134,FC139,ClaimsAdjusterFlag,2025-04-30
RS135,FC140,LawEnforcementReferral,2025-06-03
RS136,FC141,AutomatedFraudModel,2025-08-27
RS137,FC142,LawEnforcementReferral,2025-07-31
RS138,FC143,AutomatedFraudModel,2025-06-02
RS139,FC144,AutomatedFraudModel,2025-06-30
RS140,FC145,LawEnforcementReferral,2025-02-12
RS141,FC146,InternalAudit,2025-02-12
RS142,FC147,InternalAudit,2025-12-06
RS143,FC148,ClaimsAdjusterFlag,2025-02-10
RS144,FC149,ClaimsAdjusterFlag,2025-02-18
RS145,FC150,AnonymousTip,2025-11-07
RS146,FC151,AutomatedFraudModel,2025-08-03
RS147,FC152,AutomatedFraudModel,2025-09-09
RS148,FC153,InternalAudit,2025-02-27
RS149,FC154,AnonymousTip,2025-11-22
RS150,FC155,AnonymousTip,2025-03-18
RS151,FC156,AutomatedFraudModel,2025-10-26
RS152,FC157,ClaimsAdjusterFlag,2025-06-05
RS153,FC158,LawEnforcementReferral,2025-02-13
RS154,FC159,InternalAudit,2025-02-22
RS155,FC160,ClaimsAdjusterFlag,2025-02-13
RS156,FC161,LawEnforcementReferral,2025-07-29
RS157,FC162,ClaimsAdjusterFlag,2025-10-26
RS158,FC163,LawEnforcementReferral,2025-04-04
RS159,FC164,AutomatedFraudModel,2025-01-10
RS160,FC165,AutomatedFraudModel,2025-09-06
RS161,FC166,ClaimsAdjusterFlag,2025-03-03
RS162,FC167,InternalAudit,2025-11-02
RS163,FC168,ClaimsAdjusterFlag,2025-09-18
RS164,FC169,AnonymousTip,2025-06-24
RS165,FC170,ClaimsAdjusterFlag,2025-07-08
RS166,FC171,AnonymousTip,2025-06-11
RS167,FC172,InternalAudit,2025-09-20
RS168,FC173,AutomatedFraudModel,2025-06-20
RS169,FC174,LawEnforcementReferral,2025-04-25
RS170,FC175,AnonymousTip,2025-04-02
RS171,FC176,AutomatedFraudModel,2025-01-05
RS172,FC177,LawEnforcementReferral,2025-01-11
RS173,FC178,ClaimsAdjusterFlag,2025-05-11
RS174,FC179,ClaimsAdjusterFlag,2025-01-27
RS175,FC180,AutomatedFraudModel,2025-07-30
RS176,FC181,LawEnforcementReferral,2025-02-13
RS177,FC182,LawEnforcementReferral,2025-07-23
RS178,FC183,LawEnforcementReferral,2025-02-25
RS179,FC184,LawEnforcementReferral,2025-06-08
RS180,FC185,LawEnforcementReferral,2025-11-04
RS181,FC186,AutomatedFraudModel,2025-08-06
RS182,FC187,LawEnforcementReferral,2025-05-04
RS183,FC188,LawEnforcementReferral,2025-12-07
RS184,FC189,ClaimsAdjusterFlag,2025-09-24
RS185,FC190,AnonymousTip,2025-01-27
RS186,FC191,AnonymousTip,2025-07-30
RS187,FC192,InternalAudit,2025-02-12
RS188,FC193,AnonymousTip,2025-11-07
RS189,FC194,ClaimsAdjusterFlag,2025-07-23
RS190,FC195,LawEnforcementReferral,2025-02-24
RS191,FC196,ClaimsAdjusterFlag,2025-07-06
RS192,FC197,ClaimsAdjusterFlag,2025-04-05
RS193,FC198,AnonymousTip,2025-10-23
RS194,FC199,ClaimsAdjusterFlag,2025-08-20
RS195,FC200,LawEnforcementReferral,2025-12-29
RS196,FC201,AnonymousTip,2025-11-07
RS197,FC202,AnonymousTip,2025-11-13
RS198,FC203,AutomatedFraudModel,2025-10-08
RS199,FC204,InternalAudit,2025-05-24
RS200,FC205,AutomatedFraudModel,2025-06-26
RS201,FC206,InternalAudit,2025-04-05
RS202,FC207,ClaimsAdjusterFlag,2025-10-24
RS203,FC208,LawEnforcementReferral,2025-03-02
RS204,FC209,LawEnforcementReferral,2025-09-15
RS205,FC210,InternalAudit,2025-03-19
RS206,FC211,InternalAudit,2025-10-30
RS207,FC212,ClaimsAdjusterFlag,2025-08-09
RS208,FC213,LawEnforcementReferral,2025-05-18
RS209,FC214,AutomatedFraudModel,2025-10-11
RS210,FC215,AnonymousTip,2025-08-23
RS211,FC216,ClaimsAdjusterFlag,2025-05-17
RS212,FC217,AutomatedFraudModel,2025-09-15
RS213,FC218,InternalAudit,2025-12-13
RS214,FC219,InternalAudit,2025-07-20
RS215,FC220,ClaimsAdjusterFlag,2025-11-24
RS216,FC221,AutomatedFraudModel,2025-07-14
RS217,FC222,AutomatedFraudModel,2025-10-08
RS218,FC223,AnonymousTip,2025-04-17
RS219,FC224,AnonymousTip,2025-06-10
RS220,FC225,AutomatedFraudModel,2025-07-16
RS221,FC226,InternalAudit,2025-10-27
RS222,FC227,ClaimsAdjusterFlag,2025-06-26
RS223,FC228,AnonymousTip,2025-10-31
RS224,FC229,InternalAudit,2025-08-06
RS225,FC230,LawEnforcementReferral,2025-04-11
RS226,FC231,ClaimsAdjusterFlag,2025-03-20
RS227,FC232,InternalAudit,2025-04-27
RS228,FC233,ClaimsAdjusterFlag,2025-12-02
RS229,FC234,AnonymousTip,2025-10-29
RS230,FC235,ClaimsAdjusterFlag,2025-11-10
RS231,FC236,LawEnforcementReferral,2025-10-20
RS232,FC237,LawEnforcementReferral,2025-09-01
RS233,FC238,AutomatedFraudModel,2025-06-08
RS234,FC239,LawEnforcementReferral,2025-08-22
RS235,FC240,InternalAudit,2025-02-23
RS236,FC241,InternalAudit,2025-01-28
RS237,FC242,ClaimsAdjusterFlag,2025-09-30
RS238,FC243,AutomatedFraudModel,2025-04-20
RS239,FC244,InternalAudit,2025-06-08
RS240,FC245,AutomatedFraudModel,2025-09-07
RS241,FC246,AnonymousTip,2025-09-22
RS242,FC247,LawEnforcementReferral,2025-04-14
RS243,FC248,AutomatedFraudModel,2025-04-15
RS244,FC249,AnonymousTip,2025-01-20
RS245,FC250,AnonymousTip,2025-07-03
RS246,FC251,LawEnforcementReferral,2025-10-25
RS247,FC252,InternalAudit,2025-12-19
RS248,FC253,ClaimsAdjusterFlag,2025-08-12
RS249,FC254,AutomatedFraudModel,2025-10-23
RS250,FC255,AutomatedFraudModel,2025-10-25
RS251,FC256,InternalAudit,2025-01-04
RS252,FC257,AutomatedFraudModel,2025-06-15
RS253,FC258,LawEnforcementReferral,2025-08-07
RS254,FC259,AnonymousTip,2025-05-30
RS255,FC260,LawEnforcementReferral,2025-03-19
RS256,FC261,InternalAudit,2025-08-25
RS257,FC262,InternalAudit,2025-10-27
RS258,FC263,ClaimsAdjusterFlag,2025-01-14
RS259,FC264,AutomatedFraudModel,2025-02-04
RS260,FC265,LawEnforcementReferral,2025-06-28
RS261,FC266,InternalAudit,2025-05-29
RS262,FC267,AutomatedFraudModel,2025-04-10
RS263,FC268,ClaimsAdjusterFlag,2025-06-21
RS264,FC269,ClaimsAdjusterFlag,2025-08-12
RS265,FC270,ClaimsAdjusterFlag,2025-05-07
RS266,FC271,LawEnforcementReferral,2025-04-24
RS267,FC272,AutomatedFraudModel,2025-06-24
RS268,FC273,AnonymousTip,2025-02-28
RS269,FC274,AnonymousTip,2025-08-08
RS270,FC275,AnonymousTip,2025-04-18
RS271,FC276,AnonymousTip,2025-04-19
RS272,FC277,AutomatedFraudModel,2025-10-17
RS273,FC278,AnonymousTip,2025-06-04
RS274,FC279,InternalAudit,2025-06-20
RS275,FC280,LawEnforcementReferral,2025-03-30
RS276,FC281,AutomatedFraudModel,2025-11-29
RS277,FC282,ClaimsAdjusterFlag,2025-10-11
RS278,FC283,InternalAudit,2025-02-13
RS279,FC284,ClaimsAdjusterFlag,2025-10-05
RS280,FC285,AutomatedFraudModel,2025-10-10
RS281,FC286,AnonymousTip,2025-10-16
RS282,FC287,ClaimsAdjusterFlag,2025-03-27
RS283,FC288,LawEnforcementReferral,2025-10-14
RS284,FC289,AutomatedFraudModel,2025-01-02
RS285,FC291,ClaimsAdjusterFlag,2025-11-08
RS286,FC292,ClaimsAdjusterFlag,2025-04-16
RS287,FC293,ClaimsAdjusterFlag,2025-09-08
RS288,FC294,AutomatedFraudModel,2025-02-07
RS289,FC295,AutomatedFraudModel,2025-03-25
RS290,FC296,AnonymousTip,2025-12-13
RS291,FC297,ClaimsAdjusterFlag,2025-04-28
RS292,FC298,ClaimsAdjusterFlag,2025-02-04
RS293,FC299,ClaimsAdjusterFlag,2025-03-18
RS294,FC300,InternalAudit,2025-04-17
