renewalId,policyId,renewalDate,proposedPremium,status
REN143,POL116,2025-01-23,2700,Pending
REN144,POL115,2025-09-07,1274,Renewed
REN145,POL138,2025-03-10,3798,Pending
REN146,POL252,2026-07-05,3677,Renewed
REN147,POL055,2026-11-09,3519,Renewed
REN148,POL094,2026-03-31,2181,Pending
REN149,POL127,2026-11-26,2624,Pending
REN150,POL221,2026-08-14,5951,Pending
REN151,POL015,2026-08-22,8183,Renewed
REN152,POL161,2026-01-06,2705,Pending
REN153,POL229,2026-07-11,7862,Lapsed
REN154,POL161,2025-02-19,2207,Lapsed
REN155,POL167,2026-10-06,2498,Pending
REN156,POL238,2025-03-13,5226,Renewed
REN157,POL287,2025-12-14,5195,Pending
REN158,POL041,2026-07-26,2042,Pending
REN159,POL277,2025-11-16,1678,Lapsed
REN160,POL258,2025-09-28,4737,Lapsed
REN161,POL048,2025-05-19,3543,Lapsed
REN162,POL282,2025-08-17,4428,Renewed
REN163,POL143,2026-09-29,7201,Renewed
REN164,POL063,2026-12-29,496,Pending
REN165,POL171,2025-11-08,1740,Lapsed
REN166,POL178,2025-05-09,6029,Lapsed
REN167,POL092,2025-03-16,7451,Lapsed
REN168,POL268,2026-11-05,8093,Pending
REN169,POL082,2026-06-06,3425,Lapsed
REN170,POL014,2026-12-22,2157,Lapsed
REN171,POL137,2026-07-27,4128,Lapsed
REN172,POL155,2025-12-18,3542,Pending
REN173,POL263,2025-05-07,3581,Pending
REN174,POL108,2026-06-27,5086,Lapsed
REN175,POL195,2025-10-19,5691,Lapsed
REN176,POL243,2025-12-12,5979,Renewed
REN177,POL208,2026-04-18,4697,Lapsed
REN178,POL283,2025-12-06,6291,Lapsed
REN179,POL051,2025-02-13,3494,Lapsed
REN180,POL287,2025-09-03,5306,Lapsed
REN181,POL231,2025-07-13,1256,Lapsed
REN182,POL152,2026-06-17,7626,Pending
REN183,POL266,2025-10-03,3283,Pending
REN184,POL293,2026-07-07,727,Lapsed
REN185,POL122,2026-03-12,3140,Renewed
REN186,POL081,2025-02-07,4033,Renewed
REN187,POL138,2025-07-14,2912,Pending
REN188,POL125,2026-10-15,6688,Renewed
REN189,POL182,2026-09-10,7435,Lapsed
REN190,POL030,2026-08-18,2633,Lapsed
REN191,POL171,2025-03-02,1132,Renewed
REN192,POL132,2026-09-22,6954,Renewed
REN193,POL203,2026-06-14,5792,Renewed
REN194,POL088,2025-05-31,8564,Pending
REN195,POL062,2026-07-14,8207,Renewed
REN196,POL207,2025-03-08,2803,Lapsed
REN197,POL273,2026-07-03,5869,Pending
REN198,POL154,2026-05-16,7622,Lapsed
REN199,POL162,2025-12-25,5176,Lapsed
REN200,POL163,2025-08-28,6140,Lapsed
REN201,POL202,2025-05-16,1258,Pending
REN202,POL023,2025-09-19,3294,Renewed
REN203,POL087,2025-05-23,7986,Pending
REN204,POL222,2025-10-25,5943,Lapsed
REN205,POL277,2026-04-02,1818,Pending
REN206,POL023,2026-04-04,3213,Pending
REN207,POL086,2026-07-23,4750,Lapsed
REN208,POL134,2026-04-25,2047,Pending
REN209,POL151,2025-03-08,2014,Pending
REN210,POL205,2026-04-08,1150,Lapsed
REN211,POL297,2026-08-15,7477,Pending
REN212,POL044,2025-11-13,280,Pending
REN213,POL174,2026-01-17,1615,Renewed
REN214,POL121,2026-07-09,4149,Renewed
REN215,POL101,2026-11-12,7065,Lapsed
REN216,POL038,2026-10-13,4984,Renewed
REN217,POL080,2025-12-17,3810,Pending
REN218,POL135,2026-01-25,5680,Lapsed
REN219,POL006,2026-07-11,4802,Renewed
REN220,POL129,2025-05-02,1413,Pending
REN221,POL116,2026-10-11,3006,Pending
REN222,POL032,2026-01-03,4815,Lapsed
REN223,POL284,2025-03-29,4026,Lapsed
REN224,POL068,2025-05-24,4353,Pending
REN225,POL071,2026-10-01,5345,Lapsed
REN226,POL199,2026-10-05,6451,Pending
REN227,POL206,2025-07-04,4476,Lapsed
REN228,POL215,2026-09-30,842,Pending
REN229,POL044,2026-12-23,1202,Lapsed
REN230,POL241,2026-06-30,2111,Pending
REN231,POL231,2026-11-05,1463,Lapsed
REN232,POL120,2025-06-22,2352,Lapsed
REN233,POL031,2025-10-19,2708,Renewed
REN234,POL257,2026-08-21,3569,Pending
REN235,POL074,2026-12-26,3469,Pending
REN236,POL299,2025-07-23,6691,Pending
REN237,POL240,2026-07-02,6485,Pending
REN238,POL215,2026-09-14,1474,Renewed
REN239,POL087,2026-04-07,8037,Pending
REN240,POL255,2026-04-20,8293,Lapsed
REN241,POL163,2026-01-01,6054,Renewed
REN242,POL113,2025-05-27,7903,Pending
REN243,POL196,2025-11-17,1921,Lapsed
REN244,POL069,2025-07-11,2551,Pending
REN245,POL207,2025-12-30,2883,Pending
REN246,POL221,2025-02-26,6041,Renewed
REN247,POL087,2025-09-13,8156,Renewed
REN248,POL300,2025-09-17,472,Pending
REN249,POL047,2025-12-03,4458,Pending
REN250,POL094,2025-09-12,1890,Pending
REN251,POL072,2026-12-06,6387,Pending
REN252,POL105,2025-10-01,3081,Pending
REN253,POL009,2025-05-21,2679,Lapsed
REN254,POL285,2025-11-07,2404,Renewed
REN255,POL157,2026-07-25,4905,Lapsed
REN256,POL259,2025-08-13,2177,Renewed
REN257,POL099,2026-11-17,8000,Renewed
REN258,POL172,2026-03-01,6577,Lapsed
REN259,POL281,2026-05-07,3601,Renewed
REN260,POL068,2026-11-26,5197,Lapsed
REN261,POL158,2025-06-02,5345,Lapsed
REN262,POL227,2026-08-23,3130,Renewed
REN263,POL142,2026-07-16,6452,Renewed
REN264,POL097,2026-08-18,6874,Pending
REN265,POL211,2025-11-20,2873,Pending
REN266,POL118,2025-01-21,4191,Renewed
REN267,POL131,2025-11-13,1809,Renewed
REN268,POL139,2026-01-21,7967,Renewed
REN269,POL019,2025-06-01,536,Lapsed
REN270,POL157,2026-08-24,4747,Lapsed
REN271,POL194,2025-04-27,1358,Lapsed
REN272,POL203,2025-10-27,5417,Pending
REN273,POL199,2026-10-12,6248,Renewed
REN274,POL073,2025-01-13,2820,Renewed
REN275,POL137,2025-07-28,4348,Lapsed
REN276,POL169,2025-01-04,1460,Lapsed
REN277,POL017,2026-04-01,1135,Pending
REN278,POL115,2026-02-09,1014,Renewed
REN279,POL288,2025-05-23,3038,Renewed
REN280,POL271,2026-12-02,3138,Pending
REN281,POL255,2025-07-24,8407,Lapsed
REN282,POL259,2026-06-10,2645,Lapsed
REN283,POL008,2026-12-23,6438,Renewed
REN284,POL191,2025-05-06,7390,Pending
REN285,POL277,2025-03-05,2500,Lapsed
REN286,POL207,2026-01-20,3451,Renewed
REN287,POL020,2025-01-12,1811,Lapsed
REN288,POL131,2026-08-22,1347,Lapsed
REN289,POL122,2025-07-18,2954,Lapsed
REN290,POL170,2026-03-20,6080,Renewed
REN291,POL213,2025-01-19,7001,Lapsed
REN292,POL108,2026-10-20,4986,Renewed
REN293,POL161,2026-12-24,2238,Renewed
REN294,POL161,2026-11-28,2201,Lapsed
REN295,POL269,2025-04-28,6603,Pending
REN296,POL076,2026-10-28,1236,Renewed
REN297,POL176,2025-02-08,2715,Lapsed
REN298,POL099,2025-03-17,8211,Lapsed
REN299,POL082,2025-01-15,2921,Lapsed
REN300,POL269,2025-01-10,6389,Renewed
