ratingFactorId,riskAssessmentId,factorType,factorValue,weight
RF215,RA038,PriorClaimsHistory,3.39,0.16
RF216,RA049,PriorClaimsHistory,1.56,0.22
RF217,RA004,PropertyAge,1.22,0.08
RF218,RA129,PriorClaimsHistory,0.61,0.38
RF219,RA166,OccupationRisk,3.1,0.29
RF220,RA094,GeographicRisk,0.77,0.28
RF221,RA129,DrivingRecord,2.53,0.28
RF222,RA074,DrivingRecord,3.21,0.09
RF223,RA091,GeographicRisk,2.14,0.39
RF224,RA005,CreditSignal,0.5,0.15
RF225,RA213,DrivingRecord,1.3,0.21
RF226,RA214,DrivingRecord,0.68,0.15
RF227,RA174,OccupationRisk,1.76,0.35
RF228,RA284,PropertyAge,3.04,0.34
RF229,RA107,OccupationRisk,2.03,0.26
RF230,RA236,CreditSignal,1.38,0.25
RF231,RA048,GeographicRisk,2.74,0.09
RF232,RA066,CreditSignal,2.18,0.11
RF233,RA107,DrivingRecord,1.17,0.15
RF234,RA033,CreditSignal,1.33,0.08
RF235,RA207,DrivingRecord,1.2,0.38
RF236,RA028,PropertyAge,3.12,0.19
RF237,RA070,PriorClaimsHistory,3.47,0.18
RF238,RA020,OccupationRisk,1.94,0.1
RF239,RA148,CreditSignal,0.75,0.28
RF240,RA290,PropertyAge,2.6,0.19
RF241,RA169,DrivingRecord,1.32,0.15
RF242,RA014,OccupationRisk,0.8,0.1
RF243,RA120,OccupationRisk,3.0,0.39
RF244,RA043,PriorClaimsHistory,2.95,0.11
RF245,RA126,OccupationRisk,1.86,0.35
RF246,RA176,DrivingRecord,2.99,0.31
RF247,RA081,PriorClaimsHistory,2.04,0.3
RF248,RA087,PropertyAge,3.17,0.32
RF249,RA194,DrivingRecord,1.73,0.17
RF250,RA185,PropertyAge,3.05,0.12
RF251,RA081,PropertyAge,1.94,0.08
RF252,RA094,GeographicRisk,2.73,0.24
RF253,RA241,PropertyAge,2.15,0.16
RF254,RA213,PriorClaimsHistory,3.29,0.13
RF255,RA222,CreditSignal,0.94,0.26
RF256,RA005,PropertyAge,0.82,0.15
RF257,RA250,PriorClaimsHistory,0.9,0.31
RF258,RA100,PriorClaimsHistory,3.32,0.06
RF259,RA174,PropertyAge,1.63,0.32
RF260,RA023,DrivingRecord,2.48,0.16
RF261,RA224,PropertyAge,1.26,0.39
RF262,RA259,CreditSignal,2.32,0.4
RF263,RA157,GeographicRisk,2.8,0.09
RF264,RA244,DrivingRecord,1.51,0.09
RF265,RA069,PriorClaimsHistory,1.69,0.06
RF266,RA225,CreditSignal,1.98,0.12
RF267,RA092,PropertyAge,1.14,0.36
RF268,RA244,GeographicRisk,3.12,0.07
RF269,RA030,OccupationRisk,1.68,0.3
RF270,RA197,CreditSignal,1.77,0.38
RF271,RA167,GeographicRisk,2.39,0.33
RF272,RA234,OccupationRisk,2.47,0.07
RF273,RA074,DrivingRecord,1.73,0.3
RF274,RA210,PropertyAge,2.37,0.24
RF275,RA013,CreditSignal,0.73,0.16
RF276,RA127,OccupationRisk,1.95,0.08
RF277,RA109,DrivingRecord,2.4,0.28
RF278,RA288,OccupationRisk,3.44,0.26
RF279,RA133,PriorClaimsHistory,1.51,0.19
RF280,RA032,PropertyAge,2.15,0.23
RF281,RA289,PriorClaimsHistory,3.37,0.13
RF282,RA139,DrivingRecord,2.83,0.38
RF283,RA152,PropertyAge,2.25,0.22
RF284,RA276,PriorClaimsHistory,3.44,0.19
RF285,RA114,OccupationRisk,2.29,0.12
RF286,RA225,PropertyAge,2.38,0.27
RF287,RA022,DrivingRecord,0.67,0.13
RF288,RA143,PriorClaimsHistory,2.31,0.13
RF289,RA216,PriorClaimsHistory,0.68,0.26
RF290,RA284,GeographicRisk,0.78,0.16
RF291,RA154,DrivingRecord,0.73,0.32
RF292,RA056,CreditSignal,2.51,0.12
RF293,RA283,PropertyAge,2.33,0.26
RF294,RA124,GeographicRisk,1.02,0.27
RF295,RA271,OccupationRisk,1.75,0.06
RF296,RA146,PriorClaimsHistory,1.55,0.21
RF297,RA140,PropertyAge,2.54,0.3
RF298,RA109,CreditSignal,3.04,0.18
RF299,RA196,DrivingRecord,0.6,0.39
RF300,RA138,PriorClaimsHistory,2.44,0.15
