applicationId,applicantId,requestedCoverage,submissionDate,status
IA109,APP222,Auto,2025-08-02,Decided
IA110,APP205,Home,2025-09-08,Decided
IA111,APP203,Auto,2025-05-16,InReview
IA112,APP014,Umbrella,2025-05-21,Decided
IA113,APP232,Life,2025-11-06,Submitted
IA114,APP216,Umbrella,2025-02-23,Decided
IA115,APP072,Umbrella,2025-03-30,Decided
IA116,APP006,Auto,2025-12-09,Decided
IA117,APP257,Umbrella,2025-04-17,InReview
IA118,APP122,Home,2025-10-20,InReview
IA119,APP215,Umbrella,2025-06-23,Submitted
IA120,,Home,2025-10-16,Decided
IA121,APP036,Home,2025-02-02,Decided
IA122,APP213,Umbrella,2025-12-14,Submitted
IA123,APP277,Home,2025-01-05,InReview
IA124,APP066,Umbrella,2025-01-28,Submitted
IA125,APP122,Auto,2025-12-24,Decided
IA126,APP263,Home,2025-11-12,Decided
IA127,APP072,Auto,2025-09-16,Submitted
IA128,APP039,Auto,2025-07-13,InReview
IA129,APP088,Umbrella,2025-03-15,Decided
IA130,APP029,Life,2025-04-27,Decided
IA131,APP082,Umbrella,2025-05-10,Decided
IA132,APP075,Auto,2025-12-20,InReview
IA133,APP058,Auto,2025-09-06,Decided
IA134,APP283,Auto,2025-01-10,Decided
IA135,APP025,Home,2025-02-08,Decided
IA136,APP147,Life,2025-10-11,InReview
IA137,APP071,Auto,2025-10-27,Decided
IA138,APP240,Home,2025-07-03,Decided
IA139,APP066,Umbrella,2025-07-09,InReview
IA140,APP235,Home,2025-06-04,InReview
IA141,APP185,Umbrella,2025-06-19,Decided
IA142,APP072,Umbrella,2025-06-29,InReview
IA143,APP001,Life,2025-01-23,Decided
IA144,APP187,Home,2025-09-18,InReview
IA145,APP173,Umbrella,2025-07-25,Decided
IA146,APP077,Umbrella,2025-05-11,Submitted
IA147,APP041,Umbrella,2025-06-22,Decided
IA148,APP155,Umbrella,2025-09-26,Decided
IA149,APP101,Home,2025-07-05,InReview
IA150,APP160,Auto,2025-11-27,Decided
IA151,APP051,Umbrella,2025-02-20,Decided
IA152,APP241,Auto,2025-06-18,InReview
IA153,APP093,Life,2025-02-15,Decided
IA154,APP027,Life,2025-03-30,Submitted
IA155,APP246,Home,2025-11-22,Decided
IA156,APP212,Life,2025-02-24,Submitted
IA157,APP223,Auto,2025-04-23,InReview
IA158,APP225,Auto,2025-06-17,Decided
IA159,APP050,Life,2025-06-11,Decided
IA160,APP230,Life,2025-10-10,Submitted
IA161,APP183,Home,2025-10-12,Submitted
IA162,APP186,Home,2025-08-17,Decided
IA163,APP179,Auto,2025-08-20,Decided
IA164,APP181,Auto,2025-04-28,Submitted
IA165,APP009,Home,2025-04-20,Decided
IA166,APP105,Umbrella,2025-10-21,Submitted
IA167,APP089,Life,2025-12-31,Decided
IA168,APP089,Auto,2025-10-19,InReview
IA169,APP207,Auto,2025-01-20,Submitted
IA170,APP250,Home,2025-04-18,InReview
IA171,APP173,Life,2025-09-22,Decided
IA172,APP073,Umbrella,2025-01-30,Submitted
IA173,APP093,Home,2025-12-05,InReview
IA174,APP294,Umbrella,2025-05-12,Decided
IA175,APP181,Auto,2025-06-24,Decided
IA176,APP048,Home,2025-10-19,InReview
IA177,APP062,Life,2025-09-15,Decided
IA178,APP225,Home,2025-02-06,InReview
IA179,APP146,Life,2025-10-22,Submitted
IA180,APP175,Umbrella,2025-07-24,Decided
IA181,APP291,Home,2025-06-22,Submitted
IA182,APP117,Auto,2025-02-03,Decided
IA183,APP178,Umbrella,2025-05-13,Submitted
IA184,APP186,Umbrella,2025-12-31,InReview
IA185,APP292,Umbrella,2025-03-16,Decided
IA186,APP066,Life,2025-03-28,InReview
IA187,APP174,Life,2025-11-06,InReview
IA188,APP249,Umbrella,2025-06-06,InReview
IA189,APP022,Home,2025-12-10,InReview
IA190,APP169,Life,2025-08-17,Decided
IA191,APP079,Auto,2025-05-15,Decided
IA192,APP229,Umbrella,2025-02-18,Submitted
IA193,APP133,Home,2025-09-14,Decided
IA194,APP158,Home,2025-07-02,InReview
IA195,APP128,Life,2025-06-29,Decided
IA196,APP251,Auto,2025-04-10,InReview
IA197,APP067,Life,2025-05-10,Decided
IA198,APP255,Life,2025-01-20,InReview
IA199,APP182,Umbrella,2025-12-08,InReview
IA200,APP226,Life,2025-07-20,Submitted
IA201,,Life,2025-05-27,Submitted
IA202,APP036,Life,2025-10-31,Submitted
IA203,APP134,Life,2025-01-12,Decided
IA204,APP026,Umbrella,2025-12-24,InReview
IA205,APP080,Auto,2025-08-10,Submitted
IA206,APP013,Home,2025-08-06,Submitted
IA207,APP169,Life,2025-01-28,InReview
IA208,APP298,Life,2025-11-23,InReview
IA209,APP005,Home,2025-04-30,Submitted
IA210,APP216,Life,2025-07-13,Submitted
IA211,APP182,Umbrella,2025-07-05,Decided
IA212,APP251,Life,2025-02-02,Submitted
IA213,APP055,Umbrella,2025-09-10,InReview
IA214,APP062,Home,2025-01-06,Submitted
IA215,APP149,Life,2025-02-27,Decided
IA216,APP170,Auto,2025-05-22,InReview
IA217,APP236,Life,2025-08-12,InReview
IA218,APP121,Home,2025-01-22,Submitted
IA219,APP048,Home,2025-12-05,Decided
IA220,APP289,Home,2025-11-28,Decided
IA221,APP148,Life,2025-06-22,Submitted
IA222,APP194,Life,2025-06-16,Decided
IA223,APP251,Life,2025-08-14,Submitted
IA224,APP262,Umbrella,2025-05-27,InReview
IA225,APP279,Auto,2025-03-05,InReview
IA226,APP126,Auto,2025-04-12,Submitted
IA227,APP191,Home,2025-10-28,Decided
IA228,APP266,Umbrella,2025-07-19,InReview
IA229,,Life,2025-12-12,Submitted
IA230,APP153,Life,2025-05-14,Submitted
IA231,APP127,Umbrella,2025-08-11,InReview
IA232,APP076,Auto,2025-06-01,Decided
IA233,APP030,Umbrella,2025-01-25,Decided
IA234,APP100,Life,2025-12-04,Submitted
IA235,APP249,Home,2025-10-06,Decided
IA236,APP292,Auto,2025-04-02,InReview
IA237,APP248,Umbrella,2025-02-24,Submitted
IA238,APP059,Auto,2025-06-03,Decided
IA239,APP005,Umbrella,2025-07-19,InReview
IA240,APP099,Auto,2025-04-05,Submitted
IA241,APP190,Auto,2025-12-22,Submitted
IA242,APP054,Life,2025-09-22,Decided
IA243,APP213,Home,2025-05-03,Submitted
IA244,APP233,Home,2025-06-17,InReview
IA245,APP076,Home,2025-07-06,Decided
IA246,APP245,Auto,2025-09-08,InReview
IA247,APP200,Auto,2025-09-03,Submitted
IA248,APP265,Home,2025-06-15,Decided
IA249,APP057,Home,2025-02-01,Decided
IA250,APP134,Life,2025-12-13,Submitted
IA251,APP143,Home,2025-10-03,Decided
IA252,APP124,Life,2025-09-17,Submitted
IA253,APP127,Auto,2025-10-20,Submitted
IA254,APP289,Auto,2025-09-12,Decided
IA255,APP096,Auto,2025-11-08,Decided
IA256,APP187,Auto,2025-03-17,InReview
IA257,APP032,Life,2025-01-10,InReview
IA258,APP093,Umbrella,2025-06-05,Decided
IA259,APP184,Home,2025-01-30,Submitted
IA260,APP050,Life,2025-05-27,InReview
IA261,APP154,Umbrella,2025-05-29,InReview
IA262,APP291,Home,2025-05-29,InReview
IA263,APP216,Auto,2025-03-01,Submitted
IA264,APP202,Umbrella,2025-05-18,InReview
IA265,APP030,Auto,2025-12-25,InReview
IA266,APP012,Home,2025-05-05,Submitted
IA267,APP256,Auto,2025-03-15,Decided
IA268,APP241,Auto,2025-01-30,InReview
IA269,APP286,Auto,2025-01-25,Submitted
IA270,APP273,Umbrella,2025-10-11,Submitted
IA271,APP058,Home,2025-05-20,Decided
IA272,APP281,Auto,2025-01-07,Submitted
IA273,APP041,Auto,2025-03-01,Decided
IA274,APP100,Home,2025-02-25,Decided
IA275,APP270,Life,2025-10-29,Submitted
IA276,APP239,Life,2025-11-08,InReview
IA277,APP163,Home,2025-03-24,Submitted
IA278,APP085,Home,2025-02-15,Submitted
IA279,APP110,Life,2025-04-21,InReview
IA280,APP021,Home,2025-04-01,Decided
IA281,APP114,Home,2025-08-17,Decided
IA282,APP296,Home,2025-02-27,Submitted
IA283,APP159,Auto,2025-06-28,Decided
IA284,APP188,Umbrella,2025-01-05,Submitted
IA285,APP036,Umbrella,2025-06-30,Decided
IA286,APP004,Home,2025-04-08,InReview
IA287,APP252,Home,2025-03-10,Decided
IA288,APP073,Auto,2025-10-08,Decided
IA289,APP263,Life,2025-07-04,InReview
IA290,APP014,Umbrella,2025-12-03,InReview
IA291,APP136,Umbrella,2025-09-10,InReview
IA292,APP027,Umbrella,2025-06-09,Decided
IA293,APP119,Life,2025-10-26,Decided
IA294,APP207,Umbrella,2025-07-28,InReview
IA295,APP160,Auto,2025-10-13,Decided
IA296,APP192,Life,2025-04-19,Submitted
IA297,APP042,Home,2025-03-16,Submitted
IA298,APP043,Life,2025-11-16,Decided
IA299,APP085,Auto,2025-09-13,InReview
IA300,APP029,Life,2025-10-25,Decided
