riskAssessmentId,applicationId,riskScore,riskCategory,assessmentDate
RA277,IA244,67,Elevated,2025-05-29
RA278,IA001,22,Standard,2025-04-07
RA279,IA037,77,High-Risk,2025-03-18
RA280,IA288,75,Elevated,2025-10-04
RA281,IA124,48,Elevated,2025-08-29
RA282,IA108,28,Standard,2025-03-26
RA283,IA041,51,Elevated,2025-12-08
RA284,IA158,24,Standard,2025-07-17
RA285,IA144,52,Elevated,2025-07-01
RA286,IA186,38,Standard,2025-10-20
RA287,IA207,66,Elevated,2025-11-27
RA288,IA040,38,Standard,2025-04-16
RA289,IA248,53,Elevated,2025-07-27
RA290,IA042,61,Elevated,2025-02-13
RA291,IA277,70,Elevated,2025-10-21
RA292,IA267,57,Elevated,2025-10-30
RA293,IA265,36,Standard,2025-07-30
RA294,IA116,45,Elevated,2025-02-02
RA295,IA290,38,Standard,2025-08-19
RA296,IA082,48,Elevated,2025-01-06
RA297,IA076,64,Elevated,2025-01-14
RA298,IA254,53,Elevated,2025-12-12
RA299,IA133,32,Standard,2025-08-12
RA300,IA119,96,High-Risk,2025-11-21
