decisionId,applicationId,underwriterId,decision,premium,decisionDate
UD062,IA153,UW015,ApprovedWithConditions,6473,2025-05-02
UD063,IA155,UW010,Approved,7366,2025-01-12
UD064,IA158,UW017,Declined,6216,2025-04-21
UD065,IA159,UW007,ApprovedWithConditions,553,2025-06-26
UD066,IA162,UW011,ApprovedWithConditions,2165,2025-02-02
UD067,IA163,UW017,ApprovedWithConditions,6266,2025-11-06
UD068,IA165,UW008,Declined,2938,2025-04-13
UD069,IA167,UW012,ApprovedWithConditions,2766,2025-03-27
UD070,IA171,UW015,ApprovedWithConditions,6750,2025-07-15
UD071,IA174,UW012,Declined,7188,2025-07-15
UD072,IA175,UW019,Declined,4828,2025-10-01
UD073,IA177,UW007,Approved,6533,2025-02-14
UD074,IA180,UW012,Approved,6267,2025-12-28
UD075,IA182,UW008,ApprovedWithConditions,6100,2025-03-31
UD076,IA185,UW002,ApprovedWithConditions,2430,2025-08-03
UD077,IA190,UW019,Declined,4372,2025-05-04
UD078,IA191,UW001,Approved,7269,2025-02-16
UD079,IA193,UW016,Approved,6946,2025-01-27
UD080,IA195,UW011,Declined,3214,2025-09-23
UD081,IA197,UW010,Approved,7736,2025-05-15
UD082,IA203,UW001,ApprovedWithConditions,3390,2025-05-02
UD083,IA211,UW002,Approved,3205,2025-10-07
UD084,IA215,UW014,ApprovedWithConditions,2032,2025-09-19
UD085,IA219,UW011,Approved,2006,2025-07-05
UD086,IA220,UW015,Approved,4532,2025-03-19
UD087,IA222,UW001,Approved,1567,2025-11-12
UD088,IA227,UW008,Declined,7267,2025-09-10
UD089,IA232,UW018,ApprovedWithConditions,5473,2025-05-11
UD090,IA233,UW012,Declined,5926,2025-09-06
UD091,IA235,UW009,Approved,649,2025-06-19
UD092,IA238,UW012,ApprovedWithConditions,2115,2025-07-01
UD093,IA242,UW016,Approved,4026,2025-02-01
UD094,IA245,UW017,ApprovedWithConditions,7868,2025-09-26
UD095,IA248,UW014,Declined,4298,2025-03-21
UD096,IA249,UW008,Approved,3579,2025-05-21
UD097,IA251,UW005,ApprovedWithConditions,7616,2025-06-29
UD098,IA254,UW002,ApprovedWithConditions,1088,2025-05-23
UD099,IA255,UW014,ApprovedWithConditions,935,2025-06-27
UD100,IA258,UW006,Approved,2302,2025-09-24
UD101,IA267,UW004,Approved,7451,2025-06-30
UD102,IA271,UW018,Approved,7252,2025-02-09
UD103,IA273,UW003,ApprovedWithConditions,2487,2025-11-28
UD104,IA274,UW013,ApprovedWithConditions,2792,2025-08-04
UD105,IA280,UW017,Approved,5225,2025-02-03
UD106,IA281,UW014,ApprovedWithConditions,2882,2025-01-04
UD107,IA283,UW001,ApprovedWithConditions,7021,2025-07-30
UD108,IA285,UW008,Declined,2339,2025-02-11
UD109,IA287,UW020,Approved,446,2025-09-19
UD110,IA288,UW011,Declined,6839,2025-03-28
UD111,IA292,UW002,Declined,3600,2025-10-11
UD112,IA293,UW008,ApprovedWithConditions,3281,2025-06-08
UD113,IA295,UW006,Declined,6372,2025-01-13
UD114,IA298,UW005,Declined,4940,2025-03-04
UD115,IA300,UW007,ApprovedWithConditions,3330,2025-12-02
